	F0308	F0309	F0300	F0305	F0307	F0380	H0617	H0613	H0618	H0846	M0828	M0829	H0757	J0060	H0577	H0571	J0036	H0661	H0664	H0915	H0914	H0668	H0851	F0371	H0587	H0505	J0078	J0076	J0074	H0742	H0866	F0289	J0058	F0445	J0042	J0040	H0775	H0849	J0020	H0790	H0793	H0796	J0126	J0024	J0054	J0056	H0762	H0647	J0072	H0768	F0298	F0292	F0290	F0291	F0297	F0295	H0781	H0681	H0785	H0886	H0658	H0659	J0022	H0800	H0716	H0656	F0331	F0335	F0334	F0336	H0896	H0700	H0812	H0487	H0705	J0038	H0709	M0853	M0852	M0851	J0128	M0855	M0854	J0124	H0624	H0627	H0667	H0622	H0682	H0528	H0680	H0684	H0523	H0689	F0323	F0320	H0823	M0839	H0738	H0736	H0735	J0003	J0001	M0848	M0849	H0638	M0845	M0846	M0847	M0840	M0841	M0842	M0843	H0694	H0693	F0319	F0315	M0833	F0310	J0018	H0838	H0930	M0834	J0090	J0092	J0094	M0831	M0830	H0601	J0109	M0835	J0005	M0837	M0836
F0308	0.0	0.838363941125	0.722460990775	0.771719289816	0.792006006046	0.756533387964	0.675477592563	0.617591829787	0.633525434019	0.668293789807	0.641993308752	0.635681768211	0.663343911809	0.669535857513	0.660777113297	0.62537396886	0.620828304744	0.691821813842	0.644295595673	0.646708284131	0.683603040047	0.608441532072	0.585259502561	0.739282990084	0.669230884713	0.691201054787	0.618045947441	0.645831630304	0.646536812284	0.691898791684	0.612430802579	0.675665688	0.658004279749	0.663057791302	0.635822854096	0.641715150148	0.689919367764	0.616063136622	0.659585287792	0.695944970052	0.631324852701	0.714860813453	0.643647924321	0.688990958066	0.577633392942	0.658387146996	0.6808021701	0.618191034517	0.586935910297	0.72000479888	0.63891108214	0.794591136805	0.672018358905	0.662167849817	0.591426787358	0.622210797843	0.666653706526	0.663583040986	0.613451599833	0.640786665446	0.640829266333	0.655224126742	0.601487994896	0.69244678512	0.623796700774	0.669529284316	0.635815878229	0.635296103458	0.78744338193	0.719367663575	0.645639692841	0.653467731791	0.697622698814	0.668331534399	0.689847955624	0.684178601177	0.650238202961	0.69329362234	0.702657794149	0.700119259773	0.673525278817	0.663207374333	0.719119306491	0.587360315322	0.658795492938	0.675309589806	0.675015775746	0.618849336038	0.696783996592	0.618395417522	0.692661260586	0.673138985096	0.661347814427	0.62050755033	0.607903356492	0.692862469809	0.673048968199	0.603675642315	0.66407507669	0.675419229115	0.68401277341	0.683981464523	0.708722032055	0.655400661378	0.691121835783	0.605318123785	0.697170607616	0.675188028792	0.693913484862	0.620923317501	0.649384195232	0.656105632545	0.656006075576	0.663071556735	0.616403014876	0.644745236348	0.634506546242	0.632020147185	0.643997632443	0.665352923103	0.610333272272	0.642753260767	0.723150606132	0.601691021517	0.685089297476	0.658425934189	0.680910452073	0.624995728626	0.657806013805	0.605742345454	0.760838583395	0.661401395945	0.630914280902	0.684768066217
F0309	0.838363941125	0.0	0.731209185814	0.752704751995	0.753532914852	0.903152726176	0.866417513678	0.874541841071	0.877023807688	0.901034589527	0.899385217684	0.889862652071	0.911011387149	0.875854146553	0.90697143083	0.893632029695	0.87042726714	0.910647871496	0.885970682115	0.903014906386	0.915942726007	0.876067872106	0.891972356725	0.90034283253	0.906727707858	0.864724670602	0.874501491916	0.87692030335	0.869394918327	0.906314843413	0.889839238014	0.830550965282	0.885710390319	0.903254870774	0.86940855301	0.879036051249	0.89495207728	0.886092825045	0.88152089725	0.895714708947	0.899382859721	0.908294116119	0.892549544186	0.87055071915	0.876267904193	0.881406866071	0.91734655952	0.89127700047	0.865637471462	0.917082215461	0.777762537101	0.758055338197	0.830143939805	0.781808985625	0.836602349147	0.821995219552	0.90953032952	0.905670873657	0.888204717435	0.867244706499	0.901908541911	0.89209438052	0.867796981508	0.912995289537	0.875898266316	0.902906876793	0.835118267812	0.799841012126	0.790624880598	0.719310686311	0.902992110685	0.905109751213	0.914146484383	0.90600773112	0.8832940891	0.893606051894	0.88676460107	0.89908619928	0.894537853091	0.877459447541	0.865893315062	0.907722105327	0.896305528794	0.884493386011	0.882157050744	0.906190310967	0.888718075634	0.883644317316	0.900451384086	0.893943978894	0.904068308804	0.910581049502	0.88388590927	0.89723244466	0.822964058735	0.744420388005	0.912223745335	0.893491063775	0.889540077693	0.903955200181	0.903136830789	0.895549064154	0.880444888721	0.878122162002	0.878786753427	0.887440511286	0.868884438897	0.865762169873	0.842383888053	0.894817660242	0.870001870513	0.892855497487	0.89812403348	0.890430880312	0.88745967681	0.762848467311	0.814727240583	0.891578987262	0.840889440714	0.886903575604	0.891386702683	0.872621422349	0.904724113257	0.879832513957	0.884404247664	0.859273869315	0.891357236133	0.88856110455	0.897103857688	0.862516226183	0.898577815077	0.896204244163	0.878511712759	0.86080683924
F0300	0.722460990775	0.731209185814	0.0	0.680795387468	0.703663852525	0.856197466858	0.763956065251	0.720601574605	0.730816713938	0.801258337474	0.813982037993	0.774949656083	0.802785661605	0.716391587338	0.793925944774	0.765833461428	0.746798410947	0.796199849484	0.768460185149	0.790352664973	0.800910396381	0.750205062411	0.763288975091	0.818204391281	0.784031130424	0.729498786818	0.748571912829	0.73763934398	0.724400023713	0.823248338347	0.738271479554	0.636457672409	0.765103845168	0.81721957879	0.73750321439	0.741285904215	0.785681649327	0.736555037825	0.723821326464	0.793432804743	0.797408157183	0.811752866681	0.780239557488	0.766302513624	0.768816783425	0.739022193055	0.829174656265	0.765042323468	0.756147535467	0.820600749803	0.704784283954	0.715477766639	0.694573009163	0.663580765365	0.708765182513	0.710449148848	0.818302297875	0.78470414294	0.752440061748	0.697335115746	0.775814746907	0.768580678503	0.738275837907	0.823544794449	0.721855746543	0.796715622203	0.696280450432	0.685894004551	0.726987094801	0.676683215316	0.797192243858	0.776101472633	0.816957964364	0.807021738727	0.755449787181	0.738023713396	0.771481322744	0.80338548385	0.804769046965	0.798014203131	0.719565136792	0.770417341299	0.809130962127	0.789244153611	0.751890124556	0.801885982383	0.77931312592	0.730658966278	0.769298887999	0.735679605631	0.79065438347	0.78147243802	0.756915606557	0.772955182203	0.606759524281	0.69608506172	0.813989330791	0.776211001443	0.747492759351	0.795668561778	0.801259042088	0.812512998006	0.799812063095	0.724668867993	0.779303782552	0.785130509003	0.78885174069	0.76131335624	0.745644867142	0.77282880303	0.753435076771	0.773231889046	0.786401811468	0.764670776075	0.775190785537	0.659954689391	0.63448830149	0.789593477822	0.723524296218	0.795369619819	0.722533602081	0.737234583177	0.80710951932	0.748252196161	0.734614878844	0.722359647643	0.809249443514	0.768081058226	0.769703681046	0.765973119193	0.813351948789	0.783071857059	0.81207905627	0.829292758136
F0305	0.771719289816	0.752704751995	0.680795387468	0.0	0.770254326045	0.909844727438	0.857703022493	0.851118234107	0.829750698096	0.871882903353	0.883298652114	0.847489869633	0.880262082309	0.834539050993	0.876092939548	0.850930026445	0.84206507029	0.893646121948	0.872142537817	0.864251657614	0.88548784688	0.837016360927	0.858028707753	0.897481851249	0.872710596241	0.847843522152	0.852124088793	0.841748751442	0.833488433438	0.890305055057	0.827209090804	0.671326226362	0.846339960825	0.882470499468	0.831170697834	0.856787629357	0.871498312518	0.841973845409	0.863477200523	0.882466829331	0.876088286304	0.894814430643	0.875077827003	0.835389390147	0.859513862332	0.855686620972	0.891345868634	0.862467903541	0.843972452015	0.902397493758	0.780985496751	0.544858665714	0.845909071287	0.672235091278	0.810216555882	0.79531756371	0.884904308135	0.869318386043	0.863281802511	0.846097509939	0.864092287612	0.857184639329	0.83907240643	0.886514804445	0.811340406552	0.87847611842	0.772569468141	0.788470551138	0.809724634178	0.773337071335	0.880787703047	0.869294484214	0.896798717935	0.877459208631	0.866360964343	0.867471381649	0.853125627315	0.891103098669	0.883621888563	0.854059777599	0.836923402721	0.870516204124	0.888468427446	0.867518571023	0.848790683077	0.890913450904	0.889603777905	0.828756007774	0.885870716394	0.846256511247	0.900882173726	0.881670399417	0.862874888292	0.851482661317	0.777927750779	0.757315811405	0.886268682356	0.862741765169	0.852331772455	0.900346409606	0.875229089862	0.869829724596	0.881497422658	0.858682001354	0.855194163985	0.867194622874	0.87590723695	0.864763695709	0.860976443061	0.864420886224	0.858926733828	0.865537089631	0.877259207963	0.843159870081	0.854073584897	0.712780792137	0.801408286408	0.870545512524	0.818374023861	0.872137979487	0.838677201522	0.854315956687	0.878447935923	0.869333870557	0.851669397061	0.839567788953	0.877467869835	0.851668972899	0.873627405844	0.840355843126	0.880806477079	0.882237519656	0.874017066059	0.87152596879
F0307	0.792006006046	0.753532914852	0.703663852525	0.770254326045	0.0	0.843730111436	0.808993543581	0.811003129123	0.813788154868	0.832636122372	0.839714069942	0.828150994457	0.851602606812	0.79155370344	0.843122320802	0.827322576255	0.821778715814	0.861653450555	0.832287005046	0.840541910897	0.855302498645	0.838399316246	0.830636040434	0.85225573382	0.845345921666	0.811202955734	0.812905382796	0.8309150495	0.786577245518	0.840193500099	0.809985182618	0.769577020827	0.821992728479	0.828965481732	0.821982988099	0.832631246316	0.825564461465	0.814388723695	0.79753056285	0.838564259355	0.84007100796	0.828258752074	0.836196548409	0.81176163433	0.815662700901	0.793607303666	0.855505609136	0.831478977981	0.808404097269	0.851516029479	0.767128641989	0.754885047792	0.804007694195	0.722530427916	0.785709457866	0.737234351315	0.846958382761	0.845212583485	0.828034224133	0.79824815519	0.829147062578	0.840916738101	0.80089831035	0.847153414659	0.815181241186	0.843831902384	0.766305194756	0.746463431872	0.539025614964	0.723253710277	0.841725739397	0.828794280743	0.854587440693	0.838829375573	0.80420350594	0.814742291607	0.832373308312	0.849445374182	0.840022458349	0.827208528133	0.801469969219	0.842912602906	0.83688781685	0.831748118628	0.814928914918	0.859244577815	0.836695693475	0.840500798927	0.838105236208	0.819332030787	0.849516090427	0.844069894947	0.83136135552	0.845152210481	0.769646622022	0.72399311726	0.850534841345	0.832295824914	0.813102178497	0.83989950173	0.854904999193	0.831839029508	0.833741175138	0.828267786194	0.827058405876	0.834737863465	0.828519875615	0.819124435363	0.825931960123	0.83050078109	0.822805607272	0.830335386222	0.841070553589	0.828322005622	0.828331005471	0.728559879291	0.754468924745	0.842912453199	0.7966611743	0.829711572179	0.822953829878	0.817232592071	0.841565847955	0.810269811651	0.806841092579	0.796747072264	0.830677190004	0.833178187424	0.839436887579	0.811576307616	0.832970629842	0.830586461448	0.811335337023	0.825237218535
F0380	0.756533387964	0.903152726176	0.856197466858	0.909844727438	0.843730111436	0.0	0.774409101899	0.720633470699	0.761650737064	0.730422416904	0.733853373699	0.781651678009	0.732099303577	0.762094176093	0.774360522027	0.754910850331	0.698905224708	0.77525961407	0.770695894563	0.731422058494	0.769879884116	0.760470708325	0.76506762711	0.698228997676	0.771536429467	0.773184928675	0.741384157672	0.774342214647	0.776194707211	0.738343798125	0.76060070353	0.815389893376	0.786152255554	0.657975546163	0.766755777713	0.753693983397	0.734556827029	0.76295783472	0.780238379679	0.754489972517	0.726876439774	0.716752752247	0.749639827703	0.767791190832	0.750471850796	0.773161459538	0.735507857095	0.740604120441	0.734603798046	0.730150934077	0.802604980154	0.896435386514	0.782200164265	0.827821525773	0.757574311968	0.746568109628	0.737475488838	0.776627549288	0.732548579335	0.750222910179	0.745812411325	0.763205920722	0.779632501864	0.750320499041	0.782804811488	0.768471662288	0.799289895872	0.763729864056	0.834968619994	0.743633223291	0.775307651194	0.76442148348	0.745466501682	0.747448615085	0.740172928541	0.779896412145	0.762616011301	0.731420463049	0.719528652616	0.717678922354	0.767335550964	0.738622163777	0.726401632752	0.753345247387	0.761470667489	0.776177055149	0.771610186301	0.784703725722	0.777873781995	0.74890220033	0.756978978081	0.767015567591	0.755534006725	0.752608731694	0.79890660302	0.850510481976	0.739376660284	0.733717469056	0.774183770722	0.76507482656	0.765709943547	0.748924163401	0.632697995187	0.732678477342	0.74015207892	0.744769377183	0.788090513616	0.770045995391	0.780552001095	0.730969606185	0.724595129159	0.773984489285	0.738467087683	0.801252347402	0.744554598361	0.822864362122	0.759992444071	0.744613168218	0.76487817255	0.655619801313	0.764146299515	0.747060635083	0.761405174552	0.714940240845	0.781430559313	0.760803495903	0.767619784141	0.755000656176	0.761409550766	0.757955571176	0.745041577274	0.761422939632	0.722999592906	0.725897980145
H0617	0.675477592563	0.866417513678	0.763956065251	0.857703022493	0.808993543581	0.774409101899	0.0	0.629959962738	0.587124834874	0.697364939265	0.667035091757	0.667398110212	0.680413308062	0.673988571181	0.585711266256	0.611226441282	0.642343564978	0.678705794291	0.663558214371	0.680885072219	0.695595343265	0.597400720793	0.613677291523	0.768641617102	0.559187043169	0.676021580853	0.647411631347	0.613087668024	0.651358947198	0.747335360084	0.607127551553	0.705109668847	0.672920631925	0.722063627612	0.640659464948	0.674545375147	0.746688778459	0.647747946685	0.60433080007	0.740520476186	0.633486299757	0.740965004117	0.635443066957	0.717911560465	0.650989787552	0.663643017892	0.709228172813	0.657046932492	0.69201626214	0.750098407413	0.658004091726	0.845851880551	0.731907126874	0.738376889092	0.652357310353	0.673087353326	0.709179371117	0.653409506772	0.63914753141	0.642579831381	0.593093648469	0.610326594706	0.612032286438	0.711194406982	0.614827191507	0.650890588867	0.643796162055	0.678900656119	0.793088327483	0.763181359656	0.575731465003	0.669383521587	0.720694835788	0.68095633714	0.633517287364	0.661877404333	0.608910627569	0.722253627929	0.741308407818	0.717400171331	0.676425924067	0.72573647392	0.762331132966	0.659772056448	0.689970047215	0.679849844302	0.68866509535	0.631871393732	0.664637130487	0.578480520316	0.708929959968	0.663977896111	0.663352210354	0.654668530692	0.599183297725	0.719356011298	0.697089409624	0.643245400476	0.588103485504	0.702321913948	0.683250452449	0.686623199185	0.693689226467	0.642918117313	0.683388748856	0.605660526989	0.726109279962	0.695449157362	0.723459509775	0.63542894955	0.712124666385	0.625133534388	0.692140677058	0.642458472944	0.63340125237	0.685372868384	0.66180079698	0.648222519009	0.673125607943	0.697519948546	0.661317069014	0.638857738073	0.707644820564	0.676220130961	0.66991813186	0.676222590479	0.678783676301	0.648468968427	0.527212081523	0.596419109221	0.728671360382	0.66287958812	0.642584498774	0.662332542631
H0613	0.617591829787	0.874541841071	0.720601574605	0.851118234107	0.811003129123	0.720633470699	0.629959962738	0.0	0.568879720553	0.672725059566	0.634353278984	0.635693741627	0.628409565117	0.557468930673	0.671902522782	0.600223989285	0.659419565346	0.674167054398	0.605552762982	0.598695490567	0.650612746362	0.582896876489	0.62541143248	0.727115638907	0.634352818428	0.587955249611	0.587785018236	0.575895889506	0.574758507088	0.685973668111	0.441862854004	0.675994432271	0.590048688254	0.672287399301	0.569488291763	0.590289368104	0.626718726326	0.581441212221	0.55538888666	0.652477567738	0.650975340147	0.630504279798	0.612930577459	0.575506025581	0.579628176686	0.571221590186	0.655742844755	0.417321573927	0.568037850718	0.652832932211	0.664891312675	0.836620898369	0.716566204056	0.740521567303	0.614595272243	0.592806578957	0.630860905228	0.643754680398	0.609139658632	0.312501164743	0.632978687407	0.637063395704	0.600268514276	0.695083325425	0.576207794534	0.633173353433	0.616485592852	0.593885074964	0.775436752587	0.738405994038	0.650325856009	0.491812712353	0.676016706169	0.645869467244	0.609951234354	0.602278221358	0.623960036837	0.655185730521	0.681073060298	0.685890257518	0.538176933877	0.669397642714	0.706026544188	0.61418223744	0.476949848713	0.657493756667	0.630313859479	0.637062412474	0.672469227559	0.530077725258	0.649831504326	0.643150740659	0.594039474333	0.621056418019	0.593835339354	0.755982306223	0.650595073882	0.586314296768	0.63554344617	0.625597839383	0.62814854671	0.625965161302	0.615315417894	0.547334505952	0.642372145472	0.616901094632	0.689981144974	0.655922714664	0.66374607769	0.59479291731	0.615374224465	0.626991113073	0.605486627745	0.662884772865	0.612485442392	0.747152710297	0.57241620876	0.654873787609	0.62116076799	0.661686185587	0.607342519371	0.58045513794	0.719129475532	0.523978184392	0.577088697853	0.556011376265	0.696136666695	0.645245044711	0.629520844552	0.558491058828	0.704179544075	0.604818171174	0.653274911376	0.684953839964
H0618	0.633525434019	0.877023807688	0.730816713938	0.829750698096	0.813788154868	0.761650737064	0.587124834874	0.568879720553	0.0	0.6480503669	0.63776976387	0.595935139751	0.648152306879	0.599563024879	0.595641616147	0.371218970502	0.635767804014	0.658637137612	0.639460320634	0.610312961088	0.657054231441	0.572558761524	0.577465926105	0.743092774422	0.585710889129	0.624843447642	0.588987239553	0.557779478598	0.57520004146	0.691941774356	0.564967653637	0.664317290389	0.580705306838	0.674973894588	0.589302232993	0.653038871109	0.664860498758	0.591980082898	0.573244269802	0.680160541854	0.607265397862	0.70577983234	0.622151619179	0.655188337564	0.594629178067	0.580848511906	0.670838528136	0.595208280459	0.606117514203	0.716030447499	0.625680101479	0.827271550246	0.683066686999	0.722444146407	0.608782657494	0.611825913141	0.652626932137	0.621078242498	0.574446061531	0.607333192939	0.590905159834	0.586000743163	0.585639741732	0.664225033299	0.349193086824	0.624179444469	0.633261982962	0.60951436245	0.791020910815	0.757749858091	0.61365793499	0.623756831145	0.67305611408	0.6357548188	0.464754697609	0.585386507596	0.598916347287	0.704588467173	0.694154983004	0.717579480932	0.589093049043	0.674171603995	0.716235135432	0.609019425291	0.643536643127	0.655918091226	0.663548384641	0.441153261264	0.648541452114	0.539615265096	0.678124843341	0.63664473126	0.631887574259	0.617638215051	0.562275590792	0.725956734275	0.658039215039	0.597308347014	0.565187436456	0.676773328921	0.645362204174	0.666339021726	0.701348146155	0.561376434087	0.621866257226	0.605331436829	0.675932260609	0.596917267085	0.65887189749	0.580463829518	0.650693924524	0.593115412341	0.64282980322	0.624579437146	0.617417724339	0.673442420098	0.585684289552	0.617235766086	0.602233276928	0.649737978141	0.588061842479	0.389652570702	0.711107520141	0.620103733259	0.595668084432	0.606207092936	0.665265591964	0.623411705739	0.562346641488	0.57380803094	0.723368272924	0.625153767876	0.637271374551	0.660721534914
H0846	0.668293789807	0.901034589527	0.801258337474	0.871882903353	0.832636122372	0.730422416904	0.697364939265	0.672725059566	0.6480503669	0.0	0.616289055037	0.706812150494	0.634194598863	0.694013578694	0.716984009328	0.652384599798	0.649258327626	0.679882320099	0.634849380777	0.638011379027	0.658873090501	0.623941482302	0.613956945824	0.745043788738	0.695581773643	0.695856111386	0.617598099183	0.667573555027	0.672094052061	0.548098882246	0.627595958662	0.74530525482	0.658936688684	0.647419171136	0.662748882399	0.669205593087	0.407329607517	0.577572598205	0.678908829885	0.450878346258	0.618750684998	0.654908464852	0.6523141451	0.693375462819	0.581251127938	0.680709904394	0.635835259324	0.662822066053	0.613732979531	0.688937010237	0.725344997004	0.869813653018	0.732738464451	0.774207623077	0.581080764266	0.637260173118	0.648856477926	0.664405692553	0.582599502231	0.664442101354	0.680232390591	0.673222750874	0.666067755781	0.522465933306	0.668357769114	0.640847865777	0.720264459644	0.644759621086	0.807679306535	0.761134784803	0.716098715418	0.698903712258	0.436133263174	0.626871374409	0.712377195003	0.696296219329	0.655844456465	0.607245714093	0.632765174275	0.642536088902	0.668455243548	0.625923097295	0.64734171327	0.615972987543	0.719102639847	0.659730859902	0.649349127532	0.686321063961	0.722412865351	0.601489688863	0.657899568781	0.65203380793	0.620529469079	0.640794019668	0.683139974254	0.743374719283	0.644709976388	0.591072472941	0.655171571887	0.657645950782	0.635830413553	0.568977097042	0.641709300068	0.631750861102	0.711539361212	0.636995137029	0.732727745765	0.692776413788	0.709770193119	0.592253384155	0.695252203404	0.679450558917	0.649580771465	0.669086450194	0.624338231205	0.719489423505	0.648474932284	0.622193674433	0.666566256042	0.632691034583	0.647957694245	0.670874933984	0.669708016944	0.612359425618	0.690762634016	0.645499548762	0.654703253345	0.616008811201	0.675492815784	0.608936654868	0.687960218838	0.669686828859	0.622279151444	0.642113741626
