	F0308	F0309	F0300	F0305	F0307	F0380	H0617	H0613	H0618	H0846	M0828	M0829	H0757	J0060	H0577	H0571	J0036	H0661	H0664	H0915	H0914	H0668	H0851	F0371	H0587	H0505	J0078	J0076	J0074	H0742	H0866	F0289	J0058	F0445	J0042	J0040	H0775	H0849	J0020	H0790	H0793	H0796	J0126	J0024	J0054	J0056	H0762	H0647	J0072	H0768	F0298	F0292	F0290	F0291	F0297	F0295	H0781	H0681	H0785	H0886	H0658	H0659	J0022	H0800	H0716	H0656	F0331	F0335	F0334	F0336	H0896	H0700	H0812	H0487	H0705	J0038	H0709	M0853	M0852	M0851	J0128	M0855	M0854	J0124	H0624	H0627	H0667	H0622	H0682	H0528	H0680	H0684	H0523	H0689	F0323	F0320	H0823	M0839	H0738	H0736	H0735	J0003	J0001	M0848	M0849	H0638	M0845	M0846	M0847	M0840	M0841	M0842	M0843	H0694	H0693	F0319	F0315	M0833	F0310	J0018	H0838	H0930	M0834	J0090	J0092	J0094	M0831	M0830	H0601	J0109	M0835	J0005	M0837	M0836
F0308	0.0	1.97175035	1.475190122	1.768270606	1.34577516	1.004466976	1.427894414	1.03090695	0.830502946	0.957661674	0.999036634	1.318215686	0.926416216	1.19827993	0.80205939	1.598122106	0.912078072	0.98114393	0.921838228	1.14621715	1.227187726	0.840762792	0.687572978	1.2262342	1.19973535	1.536234194	1.28716296	1.183633274	1.008953402	0.87367737	1.196781182	1.434621208	1.214887578	0.852925088	1.413392964	1.120304046	0.99013652	1.207216164	1.34083947	0.973854958	0.87378671	1.009062036	0.854469412	1.253718248	0.716723592	1.080763542	0.87747245	1.000226522	0.829292938	0.924028056	1.11278425	1.63145417	1.67727794	1.465098858	0.694795142	1.01539835	0.824595574	0.866143414	0.85287785	1.189263982	0.958704196	1.038959976	0.896725414	0.888211608	1.03905711	1.289707666	1.442449138	1.069780732	1.486864644	1.208543564	0.995651164	1.209061558	0.931827214	1.197162618	1.31591725	1.371793476	1.216618608	0.873975754	0.957790254	1.324573128	0.829090258	0.909745828	1.010408644	0.696676794	1.172398558	0.943921718	0.988942334	0.69283685	0.968782084	1.118640512	1.289334384	1.35991549	1.071954934	1.037351796	1.120644908	1.410413936	0.884324502	1.023008106	1.236218148	1.216033912	0.933740718	1.121046562	1.195028158	0.80580765	0.844176596	1.450308472	1.123323642	1.25300345	1.274776994	0.935663386	1.077290894	1.594234344	0.888142104	1.407182524	1.08683004	0.900176496	1.338436266	0.897700794	1.099906298	0.928507272	1.258206238	0.891400154	1.145214522	1.037036452	1.102145044	1.039543018	0.978689296	0.706134942	1.187982516	0.862445506	1.120027208	1.08052076	0.99204646	1.091003278
F0309	1.97175035	0.0	1.80127544	1.834641776	1.649991546	1.830803346	1.964690848	1.97433602	2.103962864	2.0841611	1.9456385	2.115300128	1.999997842	1.973178112	1.943000848	2.349587044	2.095214578	1.998606164	2.13833653	2.251334704	2.311503508	1.985515422	1.977373988	2.016485778	2.192676088	2.267441572	2.07071701	2.252076036	2.285482064	1.902344496	2.100613404	2.184542482	2.20146926	1.908796282	2.13635733	1.983395148	1.97774775	2.291990674	2.298930284	1.922914804	1.894326116	1.91088511	2.117424266	2.042376882	1.999229414	2.193071616	1.936332388	2.150994764	1.97797482	1.956998902	2.196662856	1.705222284	1.702844158	1.710205812	2.070234028	2.24781028	1.89607716	2.053480324	1.935595856	2.261066064	2.081640902	1.944877078	2.167205724	1.893465774	2.072677984	2.10987544	2.1875367	2.196934642	2.036312734	1.643355182	2.12088829	2.209693668	1.918297404	2.051981584	1.993333628	2.281275354	2.16455695	1.836551856	1.78233796	1.862102274	2.049681304	1.842826446	1.843202198	1.903461636	2.03418728	2.085484356	2.170162188	1.928416796	2.038647014	2.181556734	2.146488646	2.147011432	2.133600608	2.096106146	2.228335434	1.950782286	1.996256208	2.07970152	2.228189702	2.060524994	2.008700316	2.01748768	2.01109574	2.0375527	1.850346054	2.184714886	1.953535276	1.921182868	1.901868432	1.881586684	1.806130916	2.29422897	1.947485982	2.274186346	2.117172878	1.756953114	2.301328704	1.91196538	2.214213084	1.952662638	2.35597946	1.996340116	1.81767214	2.027129882	2.247041814	1.992996076	1.83680405	2.026288076	2.137277602	2.144790336	1.775888346	2.262954638	1.757207062	1.73985988
F0300	1.475190122	1.80127544	0.0	1.490694352	1.115602326	1.456624994	1.590381716	1.227575612	1.372199576	1.396300312	1.323316252	1.3436717	1.280871154	1.335735928	1.388826824	1.474817616	1.387490042	1.155424512	1.116468162	1.537869328	1.522889	1.33273545	1.254038552	1.437543438	1.38689808	1.232924408	1.472996534	1.335437224	1.515236212	1.173636004	1.245461172	0.92145677	1.281252084	1.458167506	1.27277687	1.2213149	1.328101434	1.50591753	1.27706262	1.3076646	1.324285016	1.272066598	1.351689606	1.277408618	1.286697118	1.311323548	1.280987116	1.207874396	1.30695026	1.265638386	1.42985556	1.330106864	1.604723146	1.085326808	1.540261448	1.558679904	1.242378896	1.340331496	1.187808164	1.41969376	1.322017506	1.371937766	1.598726168	1.294609662	1.196035476	1.254220212	1.181758008	1.48976769	1.388690434	1.22711771	1.422949646	1.239982	1.210679364	1.310875788	1.392715444	1.272643946	1.453820658	1.39402054	1.366462068	1.353749034	1.311838492	1.23995355	1.492613878	1.278607896	1.289250056	1.24250656	1.402575392	1.324699144	1.281503658	1.250625282	1.359573946	1.451859236	1.21592194	1.302304206	1.442988058	1.345133678	1.342111904	1.305209932	1.351188306	1.305455978	1.124176204	1.327850256	1.538772208	1.378965252	1.224910318	1.677636694	1.642799656	1.605009292	1.52536952	1.276605376	1.423444752	1.478531486	1.186019962	1.512119114	1.333385158	1.13596019	1.307060924	1.321003804	1.4116591	1.488813398	1.587501608	1.283593344	1.353607696	1.324849634	1.36401931	1.260767492	1.331438938	1.402679372	1.441527278	1.438594972	1.352139726	1.519722342	1.43274505	1.451018072
F0305	1.768270606	1.834641776	1.490694352	0.0	1.53313239	1.54629127	1.616132872	1.524029044	1.692035916	1.841325208	1.568251264	1.233249736	1.69229435	1.180432704	1.6955849	1.926786548	1.591577654	1.695950672	1.858061254	2.00905642	2.089085328	1.760356458	1.6425199	1.213284806	1.767771716	1.873760756	1.912389274	1.772869384	2.107958968	1.387431104	1.716618092	1.758715682	1.744675104	1.645103634	1.637891782	1.25981686	1.625327618	2.04564987	1.992909232	1.675792476	1.539880164	1.480698398	1.891238934	1.325571658	1.448156174	1.966834032	1.650516212	1.725330832	1.419319948	1.656552614	1.951601724	0.633380496	1.53164475	1.192271812	1.925948648	2.088807668	1.52343816	1.772088872	1.573593272	2.054646616	1.759738058	1.651101402	2.061837812	1.457034614	1.607478712	1.730544468	1.240237808	2.03131283	1.641314314	1.542553618	1.822614042	1.42256366	1.57367308	1.73556892	1.085263312	1.938556706	1.841392674	1.581491116	1.488962444	1.444917102	1.698552216	1.308784942	1.505608126	1.345792032	1.303296188	1.628092148	1.89553406	1.565391864	1.848675922	1.469277366	1.833422366	1.736665044	1.724522532	1.770206114	2.00683081	1.628670426	1.690711012	1.744891016	1.756864846	1.785878734	1.729309564	1.66503336	1.651998048	1.879791756	1.426114306	1.79118493	1.6979536	1.594704072	1.553015144	1.45730316	1.218163296	1.748845102	1.494661678	1.772675274	1.746605926	1.652683182	2.061344556	1.330215744	1.95818564	1.716525538	2.13769304	1.465163788	1.293236236	1.203308218	1.987850982	1.52598296	1.539220318	1.859402672	1.770014594	1.987719684	1.231567086	2.076883002	1.429749706	1.4424823
F0307	1.34577516	1.649991546	1.115602326	1.53313239	0.0	1.352223268	1.599393522	1.249774538	1.288934018	1.296064594	1.339150054	1.390734634	1.29631498	1.34770815	1.288504622	1.690741454	1.452316192	1.227723494	1.450623536	1.468665882	1.596001306	1.30914388	1.267025202	1.385213216	1.39329099	1.514230934	1.4966846	1.540678574	1.630453918	1.18584903	1.326068466	1.451306496	1.401495746	1.33416656	1.540608696	1.298820126	1.144693716	1.663043576	1.58642021	1.23463857	1.259197866	1.178934352	1.402808848	1.314957288	1.255051032	1.447609618	1.214743722	1.362290658	1.27382205	1.242133328	1.460262002	1.454900758	1.494387304	1.186282998	1.377296902	1.479481254	1.17822951	1.411433126	1.205886266	1.501489806	1.365759968	1.337801236	1.52615269	1.18050922	1.37332259	1.26742083	1.499507974	1.447980564	1.10244938	1.19255378	1.390879868	1.370103438	1.147074346	1.41816549	1.45030757	1.546558568	1.477297344	1.277697882	1.264341546	1.34740874	1.300607054	1.249030264	1.292424264	1.244345038	1.247432014	1.296519282	1.45501285	1.288929606	1.374506784	1.31825784	1.440456848	1.399548262	1.31368697	1.351923536	1.501455588	1.28520228	1.274236358	1.375160878	1.515509568	1.318052672	1.314700054	1.325973838	1.431538518	1.468660978	1.22256812	1.658793692	1.416150906	1.40370381	1.348689598	1.294997778	1.358845538	1.57189948	1.198982544	1.516059744	1.359814092	1.1427705	1.556043862	1.217170422	1.449219802	1.392240936	1.68844859	1.300592234	1.380242982	1.318864808	1.56346162	1.291059942	1.19478026	1.324270194	1.501513284	1.499235594	1.357593912	1.542645724	1.227936724	1.336635338
F0380	1.004466976	1.830803346	1.456624994	1.54629127	1.352223268	0.0	1.228461374	0.921275826	1.142720446	1.199211638	0.99489019	1.403128122	1.032203712	1.27178491	0.94840239	1.665060898	1.06370654	1.069762486	1.238061052	1.40998533	1.568815266	1.060428348	1.097832086	1.024578248	1.291829466	1.48165601	1.371189836	1.446729614	1.532615838	0.92405139	1.316178538	1.464244384	1.323117438	0.575663204	1.285806244	1.159706554	1.072557296	1.587248316	1.548177414	1.070110302	0.898212942	0.86302798	1.248768552	1.204392212	1.036784188	1.370825994	0.954521698	1.14899359	1.02593299	0.954148608	1.36035565	1.409314402	1.47363268	1.372107646	1.286552306	1.470645454	0.908835738	1.22120245	1.019471998	1.47174009	1.096223732	1.064267736	1.430321838	0.896206372	1.194227706	1.38667677	1.432903274	1.42909012	1.40237112	0.931409472	1.218164808	1.327766222	0.906608994	1.15682547	1.193982998	1.522014012	1.397081836	0.85833957	0.821333554	1.094260356	1.118194714	0.851545876	1.020190604	0.934911678	1.210840098	1.13001935	1.392673926	0.927415902	1.205773972	1.249982092	1.389516376	1.433372466	1.173538994	1.254667732	1.465950156	1.533803176	1.010779938	1.199042302	1.346209304	1.302120688	1.007215818	1.146573178	0.773805226	1.248140002	0.8606842	1.469094276	1.319659842	1.268335566	1.259848798	0.897426658	0.959069782	1.60391492	1.022254852	1.534610832	1.272314204	1.390152784	1.559084542	0.949654878	1.37147191	0.742597836	1.630120298	1.039815586	0.922297774	1.128490132	1.441151488	1.045199102	0.952164576	1.13168033	1.250713004	1.350330286	0.886905308	1.553223732	0.889920268	0.940289622
H0617	1.427894414	1.964690848	1.590381716	1.616132872	1.599393522	1.228461374	0.0	1.405607796	1.55403144	1.6189338	0.787492668	1.146551228	0.949175782	1.424030032	1.096629768	1.104836592	1.517888058	1.161745628	1.467771754	1.818484352	1.77602972	1.278906202	1.417765164	1.374644254	1.02064414	1.285448588	1.626660578	1.43210744	1.8649706	1.221227724	1.472806288	1.479360858	1.756124936	1.41149089	0.899663814	1.239736068	1.471732446	1.856707378	1.277643044	1.38228188	1.019681524	1.311584642	1.281617874	1.617255478	1.506469338	1.516481352	1.015120608	1.580185652	1.482886992	1.103875834	1.784648148	1.411794704	1.66594477	1.469961024	1.739069876	1.8936459	1.071559812	1.157363036	1.322628972	1.77059484	0.945892358	0.716945398	1.788385856	1.079687614	1.321345328	1.010194544	1.49957106	1.83499575	1.301442402	1.540292386	1.411877018	1.598969564	1.168718968	1.3759354	1.364326304	1.081121674	0.889422258	1.225985224	0.85276642	1.45428199	1.578271652	0.957355406	1.36780833	1.247095008	1.54709334	1.4820113	1.218634432	1.089471924	1.140947994	1.457446946	0.99441773	1.05744122	1.27128166	1.021783478	1.859986814	1.29755599	0.97088496	1.200289924	1.21349547	1.16799561	1.22062956	1.426508708	1.60592276	1.425244224	1.109897218	0.846214386	1.586466312	1.45574636	1.498196276	0.884639728	1.097537704	0.99945937	1.225364846	1.048494962	1.00663983	1.49055489	1.654009972	1.24166188	1.792630144	1.510924982	1.90682652	1.41813712	0.714888764	1.443384594	1.660983422	1.469066072	0.909457814	1.496589596	0.775413742	1.530371144	0.669179094	1.624147978	0.776959134	0.709958208
H0613	1.03090695	1.97433602	1.227575612	1.524029044	1.249774538	0.921275826	1.405607796	0.0	1.044505948	1.01606984	0.972285692	1.170395316	0.981457782	1.156742468	1.119516616	1.431384956	1.018457486	1.00666076	1.169156194	1.24514892	1.331120128	1.03732187	0.967181852	1.048415386	1.171568256	1.221009828	1.222958394	1.118104456	1.410241388	0.903929516	0.972747028	1.269004262	1.065681956	0.982249398	1.150994366	0.992182396	0.885714054	1.300874182	1.29252696	0.942602084	0.884144956	0.74641447	1.182478762	1.011845422	0.822197626	1.233746916	0.936793388	0.773150388	0.839136912	0.912213922	1.320503032	1.444152356	1.594057446	1.295942304	1.125302168	1.22174548	0.872382652	1.147277684	0.833208948	1.112597324	1.137313922	1.117043714	1.40391584	0.913646566	1.087933072	1.14611622	1.138765416	1.187312778	1.077919414	1.159701154	1.222498106	0.942036648	0.869295716	1.093587288	1.102528324	1.315064654	1.275236066	1.072367988	1.051390456	1.024133926	0.905393652	0.872527706	0.960575666	0.831883404	0.77221094	1.035182896	1.259909792	1.031873544	1.23379837	0.970572306	1.252452342	1.236581312	1.032419372	1.110051238	1.35665449	1.348302914	0.980855164	1.003121644	1.315684154	1.13874919	0.991383112	1.002249232	1.114783272	1.167549824	0.925487618	1.408037478	1.2592254	1.179362008	1.265919084	0.9549984	1.002844356	1.347764842	0.864581466	1.315999946	1.100587798	1.296129158	1.248707528	0.934731628	1.303781948	1.049548794	1.366299284	0.965709736	1.068027828	0.831503498	1.337816782	0.834420728	1.07045707	1.137876216	1.261623802	1.276254556	1.059990902	1.393161302	1.014821214	1.095421924
H0618	0.830502946	2.103962864	1.372199576	1.692035916	1.288934018	1.142720446	1.55403144	1.044505948	0.0	1.040534388	1.124402576	1.022237464	1.008848598	1.073595004	0.835774848	1.469023456	1.076714586	0.897666236	0.972623774	1.047840292	1.240292892	0.863183762	0.749188996	1.208831586	0.91098394	1.398346236	1.335179038	1.205635492	1.193103428	0.813548996	1.08860072	1.341556762	1.07274156	1.004378258	1.342296546	1.02576584	1.002710674	1.255325054	1.23287228	1.07998692	0.974122448	0.965202862	0.918864714	1.096554794	0.77258967	1.020804396	0.98264162	0.866601212	0.893243304	1.02069877	1.112421504	1.557573948	1.702618998	1.38998774	1.033744748	1.099313968	0.951066224	0.779309672	0.857993916	1.217269136	0.924539134	1.082948878	1.21269338	0.886677614	0.773743664	1.144628872	1.281029128	1.088928398	1.47155917	1.367021014	0.720112202	1.02123484	1.001907192	1.168774156	1.140036008	1.281234502	1.106910602	1.045670544	1.102940788	1.243592898	0.912987668	0.942044686	1.16247889	0.735294824	0.994766872	0.805944324	1.036863336	0.663640996	1.072034838	0.827504298	1.192431422	1.312781904	1.007981624	0.920690802	1.123354646	1.406361842	1.007820384	1.03773212	0.94473433	1.164840818	0.959184364	1.123395672	1.288253912	1.026337116	0.843002326	1.437284642	1.254477524	1.298193652	1.275348744	1.004599688	1.1602462	1.41907753	0.820082246	1.264601878	0.986335314	1.050010454	1.291682984	0.89310852	1.088900412	1.081032498	1.309552448	0.663694964	1.232122064	0.991833114	1.11099661	0.976016368	1.077072042	0.895504576	1.202845622	0.934641472	1.174725062	1.150072142	1.172362038	1.2759634
H0846	0.957661674	2.0841611	1.396300312	1.841325208	1.296064594	1.199211638	1.6189338	1.01606984	1.040534388	0.0	1.178642824	1.3037049	1.012887178	1.336058916	1.065760356	1.620110948	1.157893774	1.037538884	1.05049557	0.970443752	1.091956536	1.008600214	0.912918884	1.287104382	1.197144772	1.406834696	1.273806046	1.309112476	1.167665476	0.790401996	1.166524752	1.366129682	1.03061232	0.945637774	1.44116415	1.167678236	0.54992899	1.090795846	1.203937096	0.593945728	1.035956948	1.005280882	0.998725714	1.24046273	0.826690342	1.054409364	0.913382312	0.920782404	0.875802236	0.965088854	1.117744572	1.74546766	1.799826094	1.508637576	1.00640964	0.899452508	0.891795456	1.147473284	0.868658468	1.001806008	1.171919702	1.204508438	1.157690116	0.870535478	1.152122696	1.300671944	1.294561016	0.905973498	1.45154359	1.149646798	1.091444894	1.188943744	0.767659688	1.118747944	1.370163304	1.347610974	1.29995395	1.163463076	1.171559224	1.323686902	1.013913824	1.062729258	1.183430402	0.909119592	1.21561576	0.894394712	1.19759018	1.080026608	1.092943598	1.062547082	1.285545102	1.39692242	1.091828068	1.101291718	1.120311082	1.447255066	1.026823716	0.955514356	1.349862022	1.259739126	0.966542904	0.973384592	1.128227772	0.979801788	1.066723042	1.543337762	1.39217762	1.35102678	1.401891528	1.101489368	1.270043864	1.572142062	0.92851711	1.490303334	1.09414075	1.232589566	1.091886432	0.976697092	1.085493912	0.95015857	1.138866864	1.022346996	1.303130124	1.046689282	1.14552557	1.081782236	1.11966781	0.823619864	1.347325022	0.982490448	1.298101974	1.132552946	1.164107802	1.28894802
