SampleID	k_Archaea.p_Euryarchaeota.c_Methanomicrobia.o_Methanosarcinales	k_Archaea.p_Euryarchaeota.c_Thermococci.o_Thermococcales	k_Archaea.p_Euryarchaeota.c_unassigned.o_unassigned	k_Archaea.p_unassigned.c_unassigned.o_unassigned	k_Bacteria.p_Acidobacteria.c_Acidobacteria_Gp1.o_Incertae_sedis	k_Bacteria.p_Acidobacteria.c_Holophagae.o_Acanthopleuribacterales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Acidimicrobiales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Solirubrobacterales	k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_unassigned	k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales	k_Bacteria.p_Bacteroidetes.c_Flavobacteria.o_Flavobacteriales	k_Bacteria.p_Bacteroidetes.c_Sphingobacteria.o_Sphingobacteriales	k_Bacteria.p_Bacteroidetes.c_unassigned.o_unassigned	k_Bacteria.p_DeinococcusThermus.c_Deinococci.o_Thermales	k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales	k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales	k_Bacteria.p_Firmicutes.c_Bacilli.o_unassigned	k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales	k_Bacteria.p_Firmicutes.c_Clostridia.o_unassigned	k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales	k_Bacteria.p_Firmicutes.c_Negativicutes.o_Selenomonadales	k_Bacteria.p_Firmicutes.c_unassigned.o_unassigned	k_Bacteria.p_Fusobacteria.c_Fusobacteria.o_Fusobacteriales	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria.o_Incertae_sedis	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria.o_Victivallales	k_Bacteria.p_Planctomycetes.c_Planctomycetacia.o_Planctomycetales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Caulobacterales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Kiloniellales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Kordiimonadales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Parvularculales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhodobacterales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Rhodospirillales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_Sphingomonadales	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Methylophilales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Neisseriales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Rhodocyclales	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfuromonadales	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Myxococcales	k_Bacteria.p_Proteobacteria.c_Epsilonproteobacteria.o_Campylobacterales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Alteromonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Cardiobacteriales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Legionellales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Oceanospirillales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Pseudomonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Xanthomonadales	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_unassigned	k_Bacteria.p_Proteobacteria.c_unassigned.o_unassigned	k_Bacteria.p_Spirochaetes.c_Spirochaetes.o_Spirochaetales	k_Bacteria.p_Synergistetes.c_Synergistia.o_Synergistales	k_Bacteria.p_TM7.c_Incertae_sedis.o_Incertae_sedis	k_Bacteria.p_Tenericutes.c_Mollicutes.o_Anaeroplasmatales	k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales	k_Bacteria.p_unassigned.c_unassigned.o_unassigned	k_unassigned.p_unassigned.c_unassigned.o_unassigned
F0289	0	0	0	0	0	0	0	1.08	0	0.12	0	0	30.44	0.06	0.28	0	0	3.1	6.42	0.04	32.72	0	0.94	2.92	1.42	6.06	0	0	0	0.48	0	0	0	0.32	0	0	0.24	0.12	0.96	0	0.6	0	0	0.18	0	0	10.22	0	0	0.08	0.04	0	0.18	0.02	0	0	0.24	0.66	0	0.02	0	0.04	0	0
F0290	0	0	0	0	0	0	0	0.02	0	0.2	0	0	0.28	0	0.02	0	0	39.16	20.18	0.2	3.12	0	0.22	0.12	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	30.9	0	0	0	5.36	0	0	0	0	0	0	0	0	0.02	0
F0291	5.92	4.16	13.1	4.12	0	0	0	4.88	0	0.8	0	0	6.28	0.06	0.38	0.88	0	6.02	18.16	0.92	10.72	0	2.96	3.28	0	0.12	0	0	0.16	0	0	0	0	0.48	0	0.4	0.68	0	4.44	0	0.76	0	0	0	0	0	0	0	0	4.3	0	0	0.4	0.52	0	0	0.02	0	0	0.32	0	0	0	4.76
F0292	0.02	0.12	0.32	0	0	0	0	12.24	0	0.22	0	0	13	0.3	0.22	0	0	7.6	39.04	0	2.18	0	0.88	6.2	0	3.66	0	0	0	0.04	0	0	0	0.26	0	0	0.24	0	4.3	0	4.84	0	0	0	0	0.02	0.12	0	0	0	0	0	2.96	0.12	0.08	0	0.26	0	0.04	0.72	0	0	0	0
F0295	0	0.04	0.02	0	0	0	0	0.72	0	8.48	0	0	3.58	0	0.02	0.02	0	0.24	0.74	1.08	79.94	0	2.42	0.46	0.02	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0	1.08	0	0	0	0.02	0.04	0	0	0	0	0	0.24	0	0	0	0	0	0.04	0.08	0	0	0	0	0.24	0.42	0
F0297	0	0.04	0	0	0	0	0	0.16	0	4.6	0.02	0	3.42	0	0.08	0	0	0.1	11.4	1.18	68.82	0	3.9	1.96	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.72	0	0	0	0.04	0	0	0	0	0	0	0.42	0	0	0	0.04	0	0	0	0	0	0	0	0	3.06	0
F0298	0	0	0	0	0	0	0	0.06	0	0.52	0	0	18.44	0	0.02	0	0	0.06	2.74	6.28	63.14	0	2.96	3.62	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.06	0	0.02	0	0	0	0	0	0	0	0	1.86	0	0	0.18	0	0	0.02	0	0	0	0	0	0	0	0
F0300	0	0.14	1.46	0	0.36	2.32	0.04	7.62	0	0.22	0	0	17.82	0	0.24	0	0	3.84	13.66	0.78	18.8	0	0.82	0.24	0	0.24	0	0	0	0.1	0	0	0	8.36	1.24	0.28	3.32	1.72	11.18	0.02	0	0	0.1	0	0	0	0	0	0	0.2	0	0	0.24	1.22	1.66	0	0.46	0	0	0.92	0	0	0	0.38
F0305	0.14	0	0.34	0.1	0	0	0	10.94	0	1.04	0	0	5.02	0.34	0.1	0	0	13.28	56.64	0	0.36	0	0.26	2.96	0	0.84	0	0	0	0.12	0	0	0	0.16	0.12	0.06	0.04	0	2.94	0	0.6	0	0	0	0.02	0	0.28	0	0.04	0.02	0	0	2.42	0.16	0.06	0	0.42	0.02	0	0.1	0	0	0	0.06
F0307	0.26	0.3	0.26	0.1	0	0	0.1	9.98	0	0.4	0.04	0	0.98	0.16	0.32	0	0	4.12	2.84	0	44.68	0.12	2.46	0	2.02	0	0	0	0	0	0	0	0	7.86	0	0	5.58	0	7.3	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	1.32	1.28	0.16	0.04	0	0	0	4.94	1	1.34	0
F0308	0	0	0	0	0	0	0	0.44	0	0.38	0	0	2.08	0.02	0.04	0	0.02	0.36	4.04	0.9	87.4	0	1.16	2.56	0	0	0	0	0	0.02	0	0	0	0.04	0	0.02	0.04	0	0.24	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0.14	0
F0309	0.24	0	0.48	0	0	0	0	72.38	0	0	0	0	0.34	0.42	0.18	0.44	0	6.18	1.96	0	1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.44	0	0	11.76	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	1.28	0	0.2	0	0	0	0	0	0	0.28	0
F0310	0.02	0	0.18	0.12	0	0	0	0.06	0	1.2	0	0	18.16	0	0	0	0	0	2.64	6.26	61.94	0	3.68	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	1.88	0	0	0.3	0	0	0	0.06	0	0	0	0	0	0.02	0
