SampleID	k_Archaea.p_Euryarchaeota	k_Archaea.p_unassigned	k_Bacteria.p_Acidobacteria	k_Bacteria.p_Actinobacteria	k_Bacteria.p_Bacteroidetes	k_Bacteria.p_DeinococcusThermus	k_Bacteria.p_Firmicutes	k_Bacteria.p_Fusobacteria	k_Bacteria.p_Lentisphaerae	k_Bacteria.p_Planctomycetes	k_Bacteria.p_Proteobacteria	k_Bacteria.p_Spirochaetes	k_Bacteria.p_Synergistetes	k_Bacteria.p_TM7	k_Bacteria.p_Tenericutes	k_Bacteria.p_Verrucomicrobia	k_Bacteria.p_unassigned	k_unassigned.p_unassigned
F0289	0	0	0	1.2	30.78	0	47.56	6.06	0	0	13.68	0.66	0	0.02	0	0.04	0	0
F0290	0	0	0	0.22	0.3	0	63.12	0	0	0	36.34	0	0	0	0	0	0.02	0
F0291	23.18	4.12	0	5.68	7.6	0	42.06	0.12	0	0.16	12	0	0	0.32	0	0	0	4.76
F0292	0.46	0	0	12.46	13.52	0	55.9	3.66	0	0	13.24	0	0.04	0.72	0	0	0	0
F0295	0.06	0	0	9.2	3.62	0	84.9	0	0	0	1.56	0	0	0	0	0.24	0.42	0
F0297	0.04	0	0	4.78	3.5	0	87.36	0	0	0	1.26	0	0	0	0	0	3.06	0
F0298	0	0	0	0.58	18.46	0	78.8	0	0	0	2.16	0	0	0	0	0	0	0
F0300	1.6	0	2.68	7.88	18.06	0	38.14	0.24	0	0	30.1	0	0	0.92	0	0	0	0.38
F0305	0.48	0.1	0	11.98	5.46	0	73.5	0.84	0	0	7.46	0.02	0	0.1	0	0	0	0.06
F0307	0.82	0.1	0	10.52	1.46	0	56.24	0	0	0	23.58	0	0	0	4.94	1	1.34	0
F0308	0	0	0	0.82	2.14	0.02	96.42	0	0	0	0.44	0	0	0	0	0.02	0.14	0
F0309	0.72	0	0	72.38	1.38	0	9.7	0	0	0	15.54	0	0	0	0	0	0.28	0
F0310	0.2	0.12	0	1.26	18.16	0	77.86	0	0	0	2.38	0	0	0	0	0	0.02	0
F0315	0	0.12	0	7.88	21.14	0	67.9	0	0	0	2.74	0	0	0	0	0.16	0.06	0
F0319	1.14	1.28	0	4.34	15.58	0	57.12	0.7	0	0	19.84	0	0	0	0	0	0	0
F0320	1.2	0.62	0	1.66	42.02	0	41.32	0.12	0	0	13	0	0	0	0	0	0.06	0
F0323	0	0.02	0	1.32	16.34	0	79.02	0	0	0	3.3	0	0	0	0	0	0	0
F0331	0.06	0.02	0	1.18	13.36	0	80.28	0	0	0	4.58	0	0	0	0	0.44	0.06	0.02
F0334	0.72	0.1	0	0.9	18.7	0	73.02	0	0	0	2.24	0	0	0	3.42	0.14	0.6	0.16
F0335	0.54	0	0	15.88	3.38	0	78.08	0	0	0	1.22	0	0	0	0	0.44	0.34	0.12
F0336	2.3	0.94	0	6.02	5.26	0	70.18	0	0	0	14.16	0	0	0	0	1.08	0.06	0
F0371	0	0	0	0.64	4.98	0	89.72	0	0	0	0.18	0	0	0	0	0	4.48	0
F0380	0	0	0	3.9	2.26	0	93.22	0	0	0	0.18	0	0.06	0	0	0.06	0.32	0
F0445	0	0	0	0.72	2.5	0	96.4	0	0	0	0.08	0	0.02	0	0	0.02	0.26	0
H0487	0	0	0	0.36	17.18	0	77.14	0	0	0	0.12	0	0	0	0	0.02	5.18	0
H0505	0	0	0	2.12	50.14	0	41.2	0.06	0	0	5.14	0	0	0	0	0	1.34	0
H0523	0	0	0	0.6	25.14	0	73.52	0	0	0	0.28	0	0	0	0	0	0.46	0
H0528	0	0	0	1.42	15.32	0	82.52	0	0	0	0.64	0	0	0	0	0.04	0.06	0
H0571	0	0	0	2.06	62.12	0	33.32	0	0	0	2.46	0	0.04	0	0	0	0	0
H0577	0	0	0	2.44	7.18	0	90.34	0	0	0	0.04	0	0	0	0	0	0	0
H0587	0	0	0	1.44	27.68	0	68.44	0	0	0	2.38	0	0	0	0	0	0.06	0
H0601	0	0	0	0.32	37.7	0	61.28	0	0	0	0.7	0	0	0	0	0	0	0
H0613	0	0	0	1.28	4.4	0	93.92	0	0	0	0.32	0	0	0	0	0.04	0.04	0
H0617	0	0	0	0.12	29.08	0	68.2	0	0	0	2.6	0	0	0	0	0	0	0
H0618	0	0	0	3.52	3.38	0	92.92	0.02	0	0	0.16	0	0	0	0	0	0	0
H0622	0	0	0	3.62	3.44	0	92.88	0	0	0	0.02	0	0	0	0	0.04	0	0
H0624	0	0	0	7.84	0.82	0	91.32	0	0	0	0	0	0	0.02	0	0	0	0
H0627	0	0	0	1.08	7.26	0	88.96	0	0	0	0.18	0	0	0	0	0.02	2.5	0
H0638	0	0	0	0.7	49.4	0	48.28	0	0	0	1.38	0	0	0	0	0	0.24	0
H0647	0	0	0	3.28	8.38	0	87.98	0	0	0	0.34	0	0	0.02	0	0	0	0
H0656	0	0	0	3.32	32.04	0	57.46	0	0	0	6.28	0	0	0	0	0	0.9	0
H0658	0	0	0	2.46	25.74	0	71.34	0	0	0	0.46	0	0	0	0	0	0	0
H0659	0	0	0	0.46	21.24	0	77.4	0	0	0	0.46	0	0	0	0	0	0.44	0
H0661	0	0	0	2.26	17.72	0	77.96	0	0	0	0.5	0	0	0	0	0	1.56	0
H0664	0	0	0	1.32	23.42	0	74.4	0	0	0	0.12	0	0	0	0	0	0.74	0
H0667	0	0	0	2.48	30.74	0	64.38	0	0	0	2.04	0	0	0	0	0	0.36	0
H0668	0	0	0	1.28	11.28	0	86.66	0	0	0	0.42	0	0	0	0	0	0.36	0
