	F0380	H0617	H0613	H0618	H0846	M0828	M0829	H0757	J0060	H0577	H0571	J0036	H0661	H0664	H0915	H0914	H0668	H0851	F0371	H0587	J0078	J0076	J0074	H0742	H0866	J0058	F0445	J0042	J0040	H0775	H0849	J0020	H0790	H0793	H0796	J0126	J0024	J0054	J0056	H0762	H0647	J0072	H0768	H0781	H0681	H0785	H0886	H0659	J0022	H0800	H0716	H0656	H0896	H0700	H0812	H0705	J0038	H0709	M0853	M0852	J0128	M0855	M0854	J0124	H0624	H0627	H0667	H0622	H0682	H0680	H0684	H0523	H0689	H0823	M0839	H0736	H0735	J0003	J0001	M0848	H0638	M0845	M0846	M0847	M0840	M0841	M0842	M0843	H0694	H0693	M0833	J0018	H0838	H0930	M0834	J0090	J0092	J0094	M0831	M0830	H0601	J0109	M0835	J0005	M0837	M0836
F0380	0.0	0.774409101899	0.720633470699	0.761650737064	0.730422416904	0.733853373699	0.781651678009	0.732099303577	0.762094176093	0.774360522027	0.754910850331	0.698905224708	0.77525961407	0.770695894563	0.731422058494	0.769879884116	0.760470708325	0.76506762711	0.698228997676	0.771536429467	0.741384157672	0.774342214647	0.776194707211	0.738343798125	0.76060070353	0.786152255554	0.657975546163	0.766755777713	0.753693983397	0.734556827029	0.76295783472	0.780238379679	0.754489972517	0.726876439774	0.716752752247	0.749639827703	0.767791190832	0.750471850796	0.773161459538	0.735507857095	0.740604120441	0.734603798046	0.730150934077	0.737475488838	0.776627549288	0.732548579335	0.750222910179	0.763205920722	0.779632501864	0.750320499041	0.782804811488	0.768471662288	0.775307651194	0.76442148348	0.745466501682	0.740172928541	0.779896412145	0.762616011301	0.731420463049	0.719528652616	0.767335550964	0.738622163777	0.726401632752	0.753345247387	0.761470667489	0.776177055149	0.771610186301	0.784703725722	0.777873781995	0.756978978081	0.767015567591	0.755534006725	0.752608731694	0.739376660284	0.733717469056	0.76507482656	0.765709943547	0.748924163401	0.632697995187	0.732678477342	0.744769377183	0.788090513616	0.770045995391	0.780552001095	0.730969606185	0.724595129159	0.773984489285	0.738467087683	0.801252347402	0.744554598361	0.744613168218	0.655619801313	0.764146299515	0.747060635083	0.761405174552	0.714940240845	0.781430559313	0.760803495903	0.767619784141	0.755000656176	0.761409550766	0.757955571176	0.745041577274	0.761422939632	0.722999592906	0.725897980145
H0617	0.774409101899	0.0	0.629959962738	0.587124834874	0.697364939265	0.667035091757	0.667398110212	0.680413308062	0.673988571181	0.585711266256	0.611226441282	0.642343564978	0.678705794291	0.663558214371	0.680885072219	0.695595343265	0.597400720793	0.613677291523	0.768641617102	0.559187043169	0.647411631347	0.613087668024	0.651358947198	0.747335360084	0.607127551553	0.672920631925	0.722063627612	0.640659464948	0.674545375147	0.746688778459	0.647747946685	0.60433080007	0.740520476186	0.633486299757	0.740965004117	0.635443066957	0.717911560465	0.650989787552	0.663643017892	0.709228172813	0.657046932492	0.69201626214	0.750098407413	0.709179371117	0.653409506772	0.63914753141	0.642579831381	0.610326594706	0.612032286438	0.711194406982	0.614827191507	0.650890588867	0.575731465003	0.669383521587	0.720694835788	0.633517287364	0.661877404333	0.608910627569	0.722253627929	0.741308407818	0.676425924067	0.72573647392	0.762331132966	0.659772056448	0.689970047215	0.679849844302	0.68866509535	0.631871393732	0.664637130487	0.708929959968	0.663977896111	0.663352210354	0.654668530692	0.697089409624	0.643245400476	0.702321913948	0.683250452449	0.686623199185	0.693689226467	0.642918117313	0.605660526989	0.726109279962	0.695449157362	0.723459509775	0.63542894955	0.712124666385	0.625133534388	0.692140677058	0.642458472944	0.63340125237	0.648222519009	0.697519948546	0.661317069014	0.638857738073	0.707644820564	0.676220130961	0.66991813186	0.676222590479	0.678783676301	0.648468968427	0.527212081523	0.596419109221	0.728671360382	0.66287958812	0.642584498774	0.662332542631
H0613	0.720633470699	0.629959962738	0.0	0.568879720553	0.672725059566	0.634353278984	0.635693741627	0.628409565117	0.557468930673	0.671902522782	0.600223989285	0.659419565346	0.674167054398	0.605552762982	0.598695490567	0.650612746362	0.582896876489	0.62541143248	0.727115638907	0.634352818428	0.587785018236	0.575895889506	0.574758507088	0.685973668111	0.441862854004	0.590048688254	0.672287399301	0.569488291763	0.590289368104	0.626718726326	0.581441212221	0.55538888666	0.652477567738	0.650975340147	0.630504279798	0.612930577459	0.575506025581	0.579628176686	0.571221590186	0.655742844755	0.417321573927	0.568037850718	0.652832932211	0.630860905228	0.643754680398	0.609139658632	0.312501164743	0.637063395704	0.600268514276	0.695083325425	0.576207794534	0.633173353433	0.650325856009	0.491812712353	0.676016706169	0.609951234354	0.602278221358	0.623960036837	0.655185730521	0.681073060298	0.538176933877	0.669397642714	0.706026544188	0.61418223744	0.476949848713	0.657493756667	0.630313859479	0.637062412474	0.672469227559	0.649831504326	0.643150740659	0.594039474333	0.621056418019	0.650595073882	0.586314296768	0.625597839383	0.62814854671	0.625965161302	0.615315417894	0.547334505952	0.616901094632	0.689981144974	0.655922714664	0.66374607769	0.59479291731	0.615374224465	0.626991113073	0.605486627745	0.662884772865	0.612485442392	0.654873787609	0.661686185587	0.607342519371	0.58045513794	0.719129475532	0.523978184392	0.577088697853	0.556011376265	0.696136666695	0.645245044711	0.629520844552	0.558491058828	0.704179544075	0.604818171174	0.653274911376	0.684953839964
H0618	0.761650737064	0.587124834874	0.568879720553	0.0	0.6480503669	0.63776976387	0.595935139751	0.648152306879	0.599563024879	0.595641616147	0.371218970502	0.635767804014	0.658637137612	0.639460320634	0.610312961088	0.657054231441	0.572558761524	0.577465926105	0.743092774422	0.585710889129	0.588987239553	0.557779478598	0.57520004146	0.691941774356	0.564967653637	0.580705306838	0.674973894588	0.589302232993	0.653038871109	0.664860498758	0.591980082898	0.573244269802	0.680160541854	0.607265397862	0.70577983234	0.622151619179	0.655188337564	0.594629178067	0.580848511906	0.670838528136	0.595208280459	0.606117514203	0.716030447499	0.652626932137	0.621078242498	0.574446061531	0.607333192939	0.586000743163	0.585639741732	0.664225033299	0.349193086824	0.624179444469	0.61365793499	0.623756831145	0.67305611408	0.464754697609	0.585386507596	0.598916347287	0.704588467173	0.694154983004	0.589093049043	0.674171603995	0.716235135432	0.609019425291	0.643536643127	0.655918091226	0.663548384641	0.441153261264	0.648541452114	0.678124843341	0.63664473126	0.631887574259	0.617638215051	0.658039215039	0.597308347014	0.676773328921	0.645362204174	0.666339021726	0.701348146155	0.561376434087	0.605331436829	0.675932260609	0.596917267085	0.65887189749	0.580463829518	0.650693924524	0.593115412341	0.64282980322	0.624579437146	0.617417724339	0.617235766086	0.649737978141	0.588061842479	0.389652570702	0.711107520141	0.620103733259	0.595668084432	0.606207092936	0.665265591964	0.623411705739	0.562346641488	0.57380803094	0.723368272924	0.625153767876	0.637271374551	0.660721534914
H0846	0.730422416904	0.697364939265	0.672725059566	0.6480503669	0.0	0.616289055037	0.706812150494	0.634194598863	0.694013578694	0.716984009328	0.652384599798	0.649258327626	0.679882320099	0.634849380777	0.638011379027	0.658873090501	0.623941482302	0.613956945824	0.745043788738	0.695581773643	0.617598099183	0.667573555027	0.672094052061	0.548098882246	0.627595958662	0.658936688684	0.647419171136	0.662748882399	0.669205593087	0.407329607517	0.577572598205	0.678908829885	0.450878346258	0.618750684998	0.654908464852	0.6523141451	0.693375462819	0.581251127938	0.680709904394	0.635835259324	0.662822066053	0.613732979531	0.688937010237	0.648856477926	0.664405692553	0.582599502231	0.664442101354	0.673222750874	0.666067755781	0.522465933306	0.668357769114	0.640847865777	0.716098715418	0.698903712258	0.436133263174	0.712377195003	0.696296219329	0.655844456465	0.607245714093	0.632765174275	0.668455243548	0.625923097295	0.64734171327	0.615972987543	0.719102639847	0.659730859902	0.649349127532	0.686321063961	0.722412865351	0.657899568781	0.65203380793	0.620529469079	0.640794019668	0.644709976388	0.591072472941	0.657645950782	0.635830413553	0.568977097042	0.641709300068	0.631750861102	0.636995137029	0.732727745765	0.692776413788	0.709770193119	0.592253384155	0.695252203404	0.679450558917	0.649580771465	0.669086450194	0.624338231205	0.622193674433	0.632691034583	0.647957694245	0.670874933984	0.669708016944	0.612359425618	0.690762634016	0.645499548762	0.654703253345	0.616008811201	0.675492815784	0.608936654868	0.687960218838	0.669686828859	0.622279151444	0.642113741626
M0828	0.733853373699	0.667035091757	0.634353278984	0.63776976387	0.616289055037	0.0	0.680940734518	0.624538834297	0.69583515918	0.679182435258	0.648017479425	0.671227972788	0.634291046645	0.63916483471	0.650323043385	0.678145584689	0.613567922297	0.608723035818	0.72759909702	0.657567194395	0.664354841272	0.654399516645	0.691266206915	0.654736167585	0.634409287603	0.665884127806	0.654527362036	0.672358948634	0.677300625703	0.656091930011	0.629023749967	0.680232120301	0.648943029505	0.590126111396	0.681172658667	0.620889800416	0.70879543175	0.598439255149	0.700981991712	0.651899950524	0.632857110458	0.604598056694	0.681632135667	0.618567461055	0.634177267256	0.597314693569	0.654520925846	0.639508093735	0.650496699339	0.652122624827	0.63657598153	0.652437623111	0.657207848919	0.664568449655	0.621578061602	0.675937719982	0.695915530028	0.635689531515	0.640761583697	0.666910045366	0.70203860219	0.638565931602	0.682492022286	0.595751388718	0.68763799648	0.628550622146	0.641529795055	0.672665958971	0.693125506837	0.649789606316	0.655425364831	0.650217965376	0.597424077508	0.62681352865	0.591483534791	0.677023791578	0.622307131208	0.640675690729	0.689915130336	0.65939315489	0.588868926025	0.748590936874	0.703936034748	0.728905021576	0.587856275399	0.655941418449	0.641031362235	0.629757145717	0.668375460443	0.618516429183	0.59486924706	0.647825042124	0.679772074905	0.671235868631	0.672610386429	0.623253651695	0.684710415095	0.685377397902	0.627525530551	0.629808837938	0.633761042981	0.645040335101	0.690204526254	0.65568807136	0.608595223022	0.643429310452
M0829	0.781651678009	0.667398110212	0.635693741627	0.595935139751	0.706812150494	0.680940734518	0.0	0.657251941636	0.62552580744	0.629620475065	0.641528097659	0.66735164072	0.675502290288	0.675559864157	0.645095850574	0.659071295381	0.626454823691	0.612093216996	0.722384366434	0.623066433587	0.651164937088	0.630547758253	0.654794325975	0.689391478216	0.603079804094	0.635223838166	0.683382801877	0.607686882802	0.672387534131	0.711978125343	0.626878562519	0.646394578912	0.714608336611	0.659738789811	0.738949747484	0.593847179594	0.677297205924	0.659627393068	0.66306265849	0.69442036607	0.636914810405	0.658360440502	0.734440214075	0.691033769719	0.618785445834	0.623044291859	0.660678972735	0.62810461524	0.593977898299	0.698510576891	0.583079985735	0.640342873158	0.617509914576	0.643357068131	0.712586984598	0.660677249131	0.656168797751	0.631981496096	0.699767023377	0.732784640682	0.656392435781	0.695641096674	0.724483097217	0.639760073485	0.676030873802	0.67768727497	0.68023490672	0.605213649587	0.683004357813	0.701637023006	0.65691103427	0.67438875563	0.620828040607	0.674985671265	0.63630059246	0.697000486303	0.688813320991	0.707982978868	0.736202828157	0.647387152617	0.62587394912	0.688180015088	0.667307729591	0.704239626178	0.630771643447	0.690098056999	0.637892200652	0.658807555141	0.63915268215	0.623781250093	0.634452735143	0.695294784006	0.644584454761	0.649207625043	0.727582509057	0.653800829821	0.652156231201	0.660184825336	0.671631734573	0.639364375863	0.629043761644	0.598461825251	0.745096300049	0.606915953056	0.674187940383	0.696119264059
H0757	0.732099303577	0.680413308062	0.628409565117	0.648152306879	0.634194598863	0.624538834297	0.657251941636	0.0	0.675737800244	0.663776294087	0.633879377793	0.654019812406	0.636381049125	0.639427051006	0.621609914244	0.645700595338	0.613052268736	0.615727946473	0.731415754411	0.626054914939	0.648898092735	0.622014946357	0.692784846649	0.628084328147	0.630007227071	0.637227648826	0.651476173384	0.636623534242	0.658907930428	0.650205138299	0.619236707197	0.673262976408	0.659159442736	0.618261662441	0.570575579462	0.597226119622	0.706615982329	0.609702009844	0.692938983409	0.45578049104	0.642888091436	0.618191750861	0.530196526032	0.491401068872	0.619181741184	0.599633814137	0.662549081143	0.629581979894	0.625075766962	0.61949081769	0.625811806387	0.628824188668	0.639723815123	0.638271225551	0.623932400832	0.678788482339	0.671727353441	0.63837367124	0.659226002109	0.659349849819	0.683607367779	0.623207426322	0.675361423329	0.604981704704	0.676700590849	0.648942600058	0.648570154005	0.685832825108	0.66482067249	0.636692978451	0.652927332231	0.653349778516	0.619151648647	0.448781898567	0.574212349222	0.671369321484	0.629263244199	0.643164831115	0.700213345568	0.644426290621	0.609704988112	0.739985390282	0.704772547411	0.733443891579	0.569221655531	0.66278643038	0.619472764211	0.612737724642	0.673445826317	0.60543212348	0.617252789811	0.65751370572	0.642663484048	0.658928596185	0.698887471552	0.625651284458	0.673685854023	0.665655940278	0.658498280748	0.61757896733	0.640657346391	0.611589210638	0.685028031509	0.63398388345	0.619207411404	0.661549400104
J0060	0.762094176093	0.673988571181	0.557468930673	0.599563024879	0.694013578694	0.69583515918	0.62552580744	0.675737800244	0.0	0.667319165231	0.633476167005	0.671797735086	0.674723516888	0.646489022521	0.661976985381	0.68813801382	0.633079939093	0.66656107487	0.758093385517	0.668793779204	0.523584799281	0.521516497553	0.584543104803	0.69600869209	0.530187985779	0.510063257323	0.703405891068	0.494631406765	0.641143188856	0.674862871486	0.630127658597	0.557886678323	0.683713181163	0.695721522452	0.692073527317	0.657187649794	0.532952906141	0.624167327062	0.58453308311	0.705315793439	0.641640507864	0.6287085485	0.715591571176	0.698568272645	0.668727081252	0.655923439481	0.57374547641	0.667752637561	0.613548768817	0.723187744518	0.588726612138	0.670615283627	0.678269371708	0.64658076075	0.714179561414	0.612734009346	0.601747961961	0.662871391874	0.707942699725	0.709409476546	0.454057229586	0.671122524795	0.723804429997	0.660733019352	0.60771666171	0.6839989684	0.665907739124	0.676058129942	0.681898284524	0.691083903091	0.675895558101	0.636176851629	0.651325042963	0.703278329699	0.62550731438	0.668739279995	0.672233436444	0.68018481534	0.681187459788	0.633467967045	0.647779266955	0.720920009929	0.682952881252	0.700180934008	0.64431691695	0.678152505776	0.651414279904	0.657550925313	0.667114837717	0.665298072486	0.693286494298	0.688975662767	0.623732804212	0.571224577198	0.735359984832	0.602510575907	0.543256294262	0.460811364108	0.698792714316	0.669151543933	0.668079730736	0.620810833646	0.717574960015	0.64130023143	0.698822720949	0.724831792081
H0577	0.774360522027	0.585711266256	0.671902522782	0.595641616147	0.716984009328	0.679182435258	0.629620475065	0.663776294087	0.667319165231	0.0	0.611384672088	0.655335707674	0.632856842901	0.676042329444	0.662700218005	0.63671740445	0.619140816824	0.619207127301	0.730963531948	0.48771714242	0.682610642554	0.638050152798	0.660717093494	0.713943655794	0.631339938031	0.693022738941	0.705630330076	0.653952608929	0.689472179479	0.743155036043	0.648883238218	0.64099400827	0.731955814605	0.635752756328	0.762066551825	0.596616240572	0.716883128289	0.663159455893	0.669820596524	0.68976459876	0.649148107434	0.685748647431	0.724846315826	0.704899768927	0.614378437142	0.663799544176	0.686650994076	0.61310022746	0.595985052167	0.715596477719	0.596310984459	0.638164538854	0.43824202223	0.669604005683	0.702516209913	0.642675812338	0.63598647895	0.620702512375	0.729646236698	0.729405628177	0.702374720168	0.671052723196	0.7277652412	0.665316937228	0.691303808292	0.641195544528	0.640567170446	0.605083885667	0.608862977212	0.674582546381	0.643162444771	0.672505233717	0.620052390374	0.670759840845	0.629224355081	0.68458267346	0.652754983367	0.717089129353	0.728963471573	0.634547738399	0.610739699175	0.684782071404	0.683134941732	0.701476351589	0.64547933222	0.727687079022	0.649471667705	0.65059184776	0.613879323963	0.630178234006	0.64826722718	0.700356757419	0.660234819095	0.632832749007	0.732555570429	0.686523853072	0.664783394494	0.713049530185	0.641260726368	0.614275536832	0.49392662037	0.639865641583	0.749143161981	0.619054457892	0.687617570784	0.709458723065
