SampleID	goods_coverage	simpson_reciprocal	PD_whole_tree	chao1	observed_species	shannon	gini_index	fisher_alpha	margalef	brillouin_d	strong	mcintosh_d
F0289	0.9874	32.08871889	94.13939	293.181818182	234.0	5.99145835643	0.99141062679	50.8970470513	27.3564300778	4.07019311943	0.622345299145	0.835280500069
F0290	0.9842	11.2442126038	58.48509	318.157894737	156.0	4.11491506124	0.997289977728	30.568309522	18.1984835281	2.8062201985	0.822246153846	0.711847935979
F0291	0.9968	39.5761238828	79.83223	197.0	185.0	6.14138737314	0.990736493796	37.8171008793	21.6033610915	4.18051657503	0.544005405405	0.853106386898
F0292	0.9974	29.2179636716	56.97341	147.5	141.0	5.60637185106	0.993779191855	26.9711696473	16.4373399609	3.82735843536	0.593665248227	0.826689753209
F0295	0.9912	33.0911064342	99.87171	253.384615385	217.0	5.96900009393	0.991622653516	46.2444108919	25.3604673683	4.05762228778	0.613226728111	0.838013444298
F0297	0.9862	28.7374819529	109.44424	306.115384615	261.0	5.89531721515	0.991452752148	58.5293238336	30.5264884988	3.99824001161	0.65788045977	0.825127487703
F0298	0.9884	20.3236500625	62.82768	247.869565217	176.0	5.18656485025	0.995051606745	35.5269835676	20.5466749511	3.53470493674	0.701945454545	0.789343801433
F0300	0.998	39.3441797368	60.8283	150.625	145.0	6.02984725897	0.9916768056	27.9199425594	16.9069782455	4.11485245268	0.502827586207	0.852631813564
F0305	0.9958	13.7174963923	54.3354	163.130434783	154.0	4.84899818328	0.995480559975	30.0825534078	17.9636643858	3.30387749593	0.677955844156	0.740472604744
F0307	0.9954	33.1252186264	71.28938	199.083333333	178.0	5.94592460106	0.991857906459	36.0327939151	20.7814940934	4.04967365975	0.567680898876	0.838104260384
F0308	0.9804	13.0036170861	92.60715	349.534883721	239.0	5.02475239146	0.994454852052	52.288129123	27.9434779335	3.40893827362	0.732940585774	0.733055447987
F0309	0.9988	3.01634157342	27.97173	63.5	56.0	2.78717999523	0.998535030226	8.8320052349	6.45752641321	1.90750286338	0.731857142857	0.43030118199
F0310	0.985	23.4460871294	87.50918	305.617647059	224.0	5.50353017603	0.993545784283	48.1456976279	26.1823343663	3.74014909999	0.688214285714	0.80486117368
F0315	0.9924	43.590154902	95.98918	251.24137931	227.0	6.25803485077	0.990199236398	48.9667685471	26.5345630797	4.252681743	0.590946255507	0.860709536304
F0319	0.999	36.3472470595	62.27913	135.333333333	132.0	5.94540381362	0.992045434298	24.8648508553	15.3806538206	4.05990211247	0.487448484848	0.846096995754
F0320	0.998	7.10416178848	63.10519	138.25	127.0	4.78615479073	0.994485268851	23.7119716651	14.7936059648	3.26253957277	0.577297637795	0.633779628967
F0323	0.9896	26.5842060042	75.02839	228.774193548	186.0	5.55300440084	0.993831498568	38.0737652794	21.7207706626	3.7828036434	0.649698924731	0.817613529707
F0331	0.985	5.52445410659	90.44812	295.083333333	218.0	4.45152080734	0.994658351893	46.5147718484	25.4778769394	3.01462890636	0.694223853211	0.58278517824
F0334	0.9972	13.046246334	73.31392	172.333333333	168.0	5.05337560267	0.994321285396	33.521673597	19.6073983819	3.43820327011	0.64759047619	0.733515387704
F0335	0.9896	28.4106405804	96.58257	257.837837838	222.0	5.8826118637	0.99195526567	47.6003906236	25.947515224	3.99834607748	0.626792792793	0.82404220309
F0336	0.9982	23.165951611	59.29549	134.0	125.0	5.62775921627	0.993058733694	23.2543357145	14.5587868225	3.84374051507	0.4984	0.803598382543
F0371	0.9462	6.8610032104	125.31453	959.088235294	429.0	4.7114436111	0.991300859052	112.374890245	50.2512964519	3.15616241961	0.783614918415	0.627094597076
F0380	0.9644	12.9109023791	106.72015	588.140625	342.0	5.10005419157	0.992765128858	83.1502254709	40.0366637619	3.4406152675	0.765260818713	0.732047268035
F0445	0.9664	22.5842528135	118.39177	655.146341463	313.0	5.52179435769	0.992556601973	74.0435968512	36.6317861986	3.73699566675	0.735219808307	0.800901554942
H0487	0.9738	14.920687593	114.09648	519.333333333	301.0	5.33587513503	0.992401081769	70.3697626187	35.2228713448	3.60717402218	0.703376079734	0.751747088048
H0505	0.983	27.7239932309	91.90743	333.538461538	242.0	5.7634263113	0.992493413936	53.1276759465	28.295706647	3.91453428972	0.665449586777	0.821699977529
H0523	0.9798	27.7156331692	87.3873	481.476190476	241.0	5.8023531685	0.992386636971	52.8474198913	28.1782970758	3.94223050255	0.674126141079	0.821670925282
H0528	0.9822	20.2949093873	104.85425	359.9	262.0	5.72879208849	0.991874705695	58.8176352835	30.64389807	3.88443254738	0.670545038168	0.789184539853
H0571	0.9814	8.00030209141	89.39434	387.444444444	229.0	4.66649590121	0.994683487114	49.5162169627	26.769382222	3.16216598609	0.711895196507	0.655726659914
H0577	0.9646	8.92333852791	104.78517	584.238095238	337.0	4.89084614204	0.99301374483	81.5572222077	39.4496159062	3.29710134742	0.769109792285	0.6747807159
H0587	0.9592	15.2153458326	115.70313	726.442622951	387.0	5.55944337096	0.990436780146	97.9123820173	45.3200944636	3.7449050846	0.732401033592	0.754302236279
H0601	0.9702	9.91533887059	99.33416	555.523809524	293.0	4.81941155306	0.993894877506	67.9515239453	34.2835947756	3.25650314775	0.753333105802	0.69221445466
H0613	0.986	13.1114113333	91.57286	283.5	231.0	4.97689344212	0.994152402164	50.0673150649	27.0042013643	3.37459540718	0.700400865801	0.734214132352
H0617	0.9848	2.99012445616	67.24836	260.275862069	162.0	2.71627646709	0.997971110404	32.0367207015	18.902940955	1.83663976304	0.837644444444	0.427746350488
H0618	0.986	27.5710561258	81.24725	307.884615385	215.0	5.78677024646	0.992606936048	45.704945236	25.125648226	3.93650780926	0.657097674419	0.82116641385
H0622	0.9848	6.67365353701	74.85136	276.027027027	199.0	4.49665178194	0.995524785237	41.4500422316	23.2470950876	3.05353160509	0.731896482412	0.621696573498
H0624	0.976	24.3910529715	88.20865	490.125	267.0	5.6141969251	0.992838116449	60.2651685775	31.2309459257	3.80843721364	0.707096629213	0.80895920174
H0627	0.9556	21.4058323187	124.60794	784.4	407.0	5.75852269955	0.989840661788	104.717257434	47.6682858866	3.87883379757	0.733263882064	0.795105084477
H0638	0.9766	5.43112014463	96.26583	424.65	255.0	4.25530460278	0.994877760102	56.8078510263	29.8220310719	2.87393265657	0.742231372549	0.579092789861
H0647	0.9734	26.2633733097	109.88069	471.6	312.0	5.80952801897	0.991418453707	73.7353217785	36.5143766274	3.93182429385	0.703764102564	0.816415543917
H0656	0.9586	19.288873252	122.12316	758.524590164	409.0	5.98832327434	0.988390073178	105.405957318	47.9031050289	4.03295503499	0.698700733496	0.783387400808
H0658	0.9692	13.0579123636	108.40553	559.8	298.0	5.06904413505	0.993614826599	69.4600094977	34.8706426313	3.4281703916	0.75375033557	0.733640863301
H0659	0.9724	9.13460238537	98.36544	543.583333333	281.0	4.82664367623	0.993848361438	64.3709577843	32.8746799218	3.26277107903	0.736486120996	0.678730384984
H0661	0.9542	19.9573710554	126.81707	846.064516129	425.0	5.82084679267	0.989053833917	110.969195752	49.7816581673	3.91692705676	0.729352941176	0.787288457724
H0664	0.9816	25.5475869793	85.85973	375.344827586	231.0	5.63045528926	0.993206490614	50.0673150649	27.0042013643	3.82731546017	0.692252813853	0.813661927503
H0667	0.9724	20.4013683606	96.09444	560.454545455	274.0	5.50515144665	0.993011326758	62.3083872433	32.0528129238	3.7327434222	0.712715328467	0.789772777466
H0668	0.9866	19.3415816153	91.06699	297.09375	228.0	5.62891640873	0.992686859688	49.2412863025	26.6519726509	3.8237970729	0.667803508772	0.783702310477
H0680	0.9612	17.6668706601	111.50651	769.022222222	353.0	5.49915319076	0.99157251034	86.6882195083	41.3281690446	3.71196306611	0.737954107649	0.773018023583
H0681	0.9558	18.1696346159	119.30826	834.185185185	384.0	5.61506395572	0.990801272669	96.9045505889	44.9678657502	3.78592612965	0.743020833333	0.776380271861
H0682	0.9632	13.8931340132	94.99254	643.368421053	348.0	5.25280064985	0.99229366847	85.0743576196	40.7411211888	3.54394619199	0.755604597701	0.742209264491
H0684	0.9618	11.4763971825	116.5511	762.386363636	350.0	5.18415887271	0.992009290487	85.7187669623	40.9759403311	3.49459724191	0.728	0.714923554282
H0689	0.9666	19.4460519847	114.78271	709.621621622	335.0	5.69965547032	0.991123894368	80.9226831414	39.2147967639	3.85138532341	0.705776119403	0.78432268773
H0693	0.9646	17.955771344	117.8514	681.608695652	343.0	5.62775845779	0.991334839325	83.4699658169	40.1540733331	3.80156448517	0.728373760933	0.774967320188
H0694	0.961	11.950161136	107.28884	771.333333333	351.0	5.22968312931	0.992089341394	86.0415394793	41.0933499023	3.52679551983	0.743594871795	0.720918855479
H0700	0.966	24.1928772299	114.08659	713.026315789	335.0	5.76316004449	0.991320903595	80.9226831414	39.2147967639	3.8966871819	0.720931343284	0.808119709406
H0705	0.9814	7.55075314232	71.98695	369.12	198.0	4.0672563767	0.996576455616	41.1877334591	23.1296855164	2.76027721769	0.783290909091	0.64520547139
H0709	0.974	12.4543175632	100.26416	518.916666667	286.0	5.22659174559	0.992946420617	65.8560134792	33.4617277776	3.53597824801	0.715643356643	0.726919218981
H0716	0.9872	24.4022903014	80.76507	277.538461538	200.0	5.63558674731	0.993190200445	41.7127803523	23.3645046587	3.83609938126	0.6432	0.809006497583
H0735	0.9624	19.5454204298	134.06961	778.622222222	388.0	6.0056298468	0.988635507477	98.2490746717	45.4375040348	4.04809909007	0.68813814433	0.784908146743
H0736	0.9666	22.455439426	119.70916	630.784313725	359.0	5.85305915274	0.990119567292	88.6373298499	42.0326264715	3.95068788668	0.698996657382	0.800290231862
H0738	0.9694	19.5130175243	103.41449	690.965517241	290.0	5.3768250947	0.993188227808	67.0511054056	33.9313660622	3.64185140303	0.734820689655	0.784717726757
H0742	0.9546	12.9434155292	133.59408	864.762711864	430.0	5.56544116024	0.988811708559	112.727243389	50.3687060231	3.73753932633	0.711669767442	0.73240204919
H0757	0.9542	10.0043378809	128.47832	967.446808511	412.0	5.33270381497	0.98986783328	106.441802665	48.2553337424	3.58212410894	0.718640776699	0.693650499029
H0762	0.957	8.62368712987	131.16227	830.056603774	396.0	5.2629001139	0.990366019726	100.956082967	46.376780604	3.53751945562	0.725537373737	0.668931590906
H0768	0.9428	12.8053434137	148.51489	1073.21428571	491.0	5.82605460321	0.986665160675	134.922837882	57.5306898632	3.90543355505	0.712543788187	0.73088611613
H0775	0.9782	35.0395245837	121.96683	414.428571429	321.0	6.1481397133	0.989659051861	76.5236373942	37.5710627678	4.15910459974	0.661860436137	0.842986133583
H0781	0.954	13.4537932163	131.67243	934.37254902	418.0	5.69541412488	0.988985427935	108.523551549	48.9597911693	3.83047770438	0.714028708134	0.737801590256
H0785	0.9766	29.5409804297	100.52978	460.578947368	282.0	5.80532318134	0.991975182946	64.6671843985	32.992089493	3.93545266126	0.694171631206	0.827718534304
H0790	0.974	24.3020925074	122.27895	530.642857143	331.0	5.92983480403	0.989900540885	79.6581760464	38.7451584793	4.00654549113	0.662058006042	0.808583626552
H0793	0.96	16.7417366136	112.3313	769.583333333	355.0	5.44830466961	0.991782246262	87.3364119548	41.5629881869	3.67717120149	0.743307042254	0.766439915565
H0796	0.9652	19.5775631729	125.81607	614.85	364.0	5.7501998088	0.990344129812	90.2719660588	42.6196743272	3.87950878098	0.709437362637	0.785096570587
H0800	0.9482	13.0006822758	146.16037	905.909090909	472.0	5.73035110108	0.987477760102	127.86140442	55.2999080113	3.84316202612	0.716481355932	0.733023700234
H0812	0.9584	20.1334606842	146.44057	824.188679245	418.0	6.02569140774	0.98783977092	108.523551549	48.9597911693	4.05533868223	0.681466985646	0.788283570054
H0823	0.9542	11.9804785291	130.05242	884.0	426.0	5.61065082972	0.988748711422	111.320061582	49.8990677385	3.76952663297	0.705807511737	0.721290357792
H0838	0.9846	18.668279606	89.23334	289.0	212.0	5.27842398005	0.994311804009	44.8988956897	24.7734195125	3.58928463692	0.699090566038	0.779579898788
H0846	0.9808	28.253184699	116.91132	381.636363636	278.0	5.90726737486	0.991262742603	63.4846361003	32.5224512084	4.00391339618	0.666143884892	0.823512658127
H0849	0.978	16.6641781494	104.7685	398.25	262.0	5.32166550368	0.993398090996	58.8176352835	30.64389807	3.60730735128	0.708178625954	0.765863684983
H0851	0.9824	20.2790395847	92.44426	332.023255814	243.0	5.43634930601	0.993440279987	53.4083385471	28.4131162181	3.69000691063	0.701167078189	0.789096454978
H0866	0.9854	9.51341543791	92.72396	323.333333333	226.0	5.08985534303	0.993457906459	48.6926641859	26.4171535086	3.4516970988	0.667507964602	0.685480149848
