SampleID	k_Archaea.p_Euryarchaeota.c_Methanomicrobia	k_Archaea.p_Euryarchaeota.c_Thermococci	k_Archaea.p_Euryarchaeota.c_unassigned	k_Archaea.p_unassigned.c_unassigned	k_Bacteria.p_Acidobacteria.c_Acidobacteria_Gp1	k_Bacteria.p_Acidobacteria.c_Holophagae	k_Bacteria.p_Actinobacteria.c_Actinobacteria	k_Bacteria.p_Bacteroidetes.c_Bacteroidia	k_Bacteria.p_Bacteroidetes.c_Flavobacteria	k_Bacteria.p_Bacteroidetes.c_Sphingobacteria	k_Bacteria.p_Bacteroidetes.c_unassigned	k_Bacteria.p_DeinococcusThermus.c_Deinococci	k_Bacteria.p_Firmicutes.c_Bacilli	k_Bacteria.p_Firmicutes.c_Clostridia	k_Bacteria.p_Firmicutes.c_Erysipelotrichia	k_Bacteria.p_Firmicutes.c_Negativicutes	k_Bacteria.p_Firmicutes.c_unassigned	k_Bacteria.p_Fusobacteria.c_Fusobacteria	k_Bacteria.p_Lentisphaerae.c_Lentisphaeria	k_Bacteria.p_Planctomycetes.c_Planctomycetacia	k_Bacteria.p_Proteobacteria.c_Alphaproteobacteria	k_Bacteria.p_Proteobacteria.c_Betaproteobacteria	k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria	k_Bacteria.p_Proteobacteria.c_Epsilonproteobacteria	k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria	k_Bacteria.p_Proteobacteria.c_unassigned	k_Bacteria.p_Spirochaetes.c_Spirochaetes	k_Bacteria.p_Synergistetes.c_Synergistia	k_Bacteria.p_TM7.c_Incertae_sedis	k_Bacteria.p_Tenericutes.c_Mollicutes	k_Bacteria.p_Verrucomicrobia.c_Verrucomicrobiae	k_Bacteria.p_unassigned.c_unassigned	k_unassigned.p_unassigned.c_unassigned
F0289	0	0	0	0	0	0	1.2	30.44	0.06	0.28	0	0	9.56	32.72	0.94	2.92	1.42	6.06	0	0	1.16	1.56	0.18	10.22	0.32	0.24	0.66	0	0.02	0	0.04	0	0
F0290	0	0	0	0	0	0	0.22	0.28	0	0.02	0	0	59.54	3.12	0.22	0.12	0.12	0	0	0	0	0.08	0	0	36.26	0	0	0	0	0	0	0.02	0
F0291	5.92	4.16	13.1	4.12	0	0	5.68	6.28	0.06	0.38	0.88	0	25.1	10.72	2.96	3.28	0	0.12	0	0.16	1.56	5.2	0	0	5.22	0.02	0	0	0.32	0	0	0	4.76
F0292	0.02	0.12	0.32	0	0	0	12.46	13	0.3	0.22	0	0	46.64	2.18	0.88	6.2	0	3.66	0	0	0.54	9.14	0.02	0.12	3.16	0.26	0	0.04	0.72	0	0	0	0
F0295	0	0.04	0.02	0	0	0	9.2	3.58	0	0.02	0.02	0	2.06	79.94	2.42	0.46	0.02	0	0	0	0.06	1.1	0.04	0	0.28	0.08	0	0	0	0	0.24	0.42	0
F0297	0	0.04	0	0	0	0	4.78	3.42	0	0.08	0	0	12.68	68.82	3.9	1.96	0	0	0	0	0.04	0.76	0	0	0.46	0	0	0	0	0	0	3.06	0
F0298	0	0	0	0	0	0	0.58	18.44	0	0.02	0	0	9.08	63.14	2.96	3.62	0	0	0	0	0.02	0.08	0	0	2.06	0	0	0	0	0	0	0	0
F0300	0	0.14	1.46	0	0.36	2.32	7.88	17.82	0	0.24	0	0	18.28	18.8	0.82	0.24	0	0.24	0	0	15.02	11.3	0	0	3.32	0.46	0	0	0.92	0	0	0	0.38
F0305	0.14	0	0.34	0.1	0	0	11.98	5.02	0.34	0.1	0	0	69.92	0.36	0.26	2.96	0	0.84	0	0	0.5	3.54	0.02	0.28	2.7	0.42	0.02	0	0.1	0	0	0	0.06
F0307	0.26	0.3	0.26	0.1	0	0	10.52	0.98	0.16	0.32	0	0	6.96	44.8	2.46	0	2.02	0	0	0	13.44	7.32	0	0	2.78	0.04	0	0	0	4.94	1	1.34	0
F0308	0	0	0	0	0	0	0.82	2.08	0.02	0.04	0	0.02	5.3	87.4	1.16	2.56	0	0	0	0	0.12	0.24	0	0	0.08	0	0	0	0	0	0.02	0.14	0
F0309	0.24	0	0.48	0	0	0	72.38	0.34	0.42	0.18	0.44	0	8.14	1.56	0	0	0	0	0	0	1.94	12.12	0	0	1.48	0	0	0	0	0	0	0.28	0
F0310	0.02	0	0.18	0.12	0	0	1.26	18.16	0	0	0	0	8.9	61.94	3.68	3.34	0	0	0	0	0	0.14	0	0	2.18	0.06	0	0	0	0	0	0.02	0
F0315	0	0	0	0.12	0	0	7.88	21.12	0	0.02	0	0	1.68	61.42	4.46	0.34	0	0	0	0	0.16	1.52	0	0	0.9	0.16	0	0	0	0	0.16	0.06	0
F0319	0	0.54	0.6	1.28	0	0	4.34	14.82	0	0.52	0.24	0	7.58	47.42	0.04	2.08	0	0.7	0	0	4.6	12.24	0	0	2.86	0.14	0	0	0	0	0	0	0
F0320	0.34	0.22	0.64	0.62	0	0	1.66	41.64	0	0.16	0.22	0	5.02	28.84	0.6	6.86	0	0.12	0	0	1.42	5.98	0	0	5.36	0.24	0	0	0	0	0	0.06	0
F0323	0	0	0	0.02	0	0	1.32	16.34	0	0	0	0	7.2	66.44	2.12	3.26	0	0	0	0	0.04	1.16	0.02	0	1.98	0.1	0	0	0	0	0	0	0
F0331	0.04	0	0.02	0.02	0	0	1.18	13.34	0	0	0.02	0	48.48	28.32	2.08	1.4	0	0	0	0	0.62	0.24	0.02	0	3.7	0	0	0	0	0	0.44	0.06	0.02
F0334	0.16	0.14	0.42	0.1	0	0	0.9	18.52	0	0.18	0	0	16.02	34.86	21.5	0	0.64	0	0	0	0.32	1.64	0.06	0	0.22	0	0	0	0	3.42	0.14	0.6	0.16
F0335	0.14	0.08	0.32	0	0	0	15.88	3.3	0.02	0.06	0	0	1.2	73.24	3.3	0.34	0	0	0	0	0.14	0.7	0.02	0	0.32	0.04	0	0	0	0	0.44	0.34	0.12
F0336	0.2	0.1	2	0.94	0	0	6.02	4.94	0	0.32	0	0	9.56	52.88	1.06	1.6	5.08	0	0	0	2.84	9.4	0	0	1.6	0.32	0	0	0	0	1.08	0.06	0
F0371	0	0	0	0	0	0	0.64	4.98	0	0	0	0	45.2	40.32	3.58	0.02	0.6	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	4.48	0
F0380	0	0	0	0	0	0	3.9	2.26	0	0	0	0	10.54	76.94	3.76	0.04	1.94	0	0	0	0	0	0	0	0.18	0	0	0.06	0	0	0.06	0.32	0
