Taxon	F0289	F0290	F0291	F0292	F0293	F0295	F0296	F0297	F0298	F0299	F0300	F0301	F0304	F0305	F0306	F0307	F0308	F0309	F0310	F0311	F0313	F0314	F0315	F0316	F0317	F0318	F0319	F0320	F0321	F0322	F0323	F0324	F0326	F0327	F0328	F0329	F0331	F0332	F0334	F0335	F0336	F0371	F0380	F0445	H0487	H0505	H0523	H0528	H0571	H0577	H0587	H0601	H0613	H0617	H0618	H0622	H0624	H0627	H0638	H0647	H0656	H0658	H0659	H0661	H0664	H0667	H0668	H0680	H0681	H0682	H0684	H0689	H0693	H0694	H0700	H0705	H0709	H0716	H0735	H0736	H0738	H0742	H0757	H0762	H0768	H0775	H0781	H0785	H0790	H0793	H0796	H0800	H0812	H0823	H0838	H0846	H0849	H0851	H0866	H0886	H0896	H0914	H0915	H0930	J0001	J0003	J0005	J0018	J0020	J0022	J0024	J0036	J0038	J0040	J0042	J0054	J0056	J0058	J0060	J0072	J0074	J0076	J0078	J0090	J0092	J0094	J0109	J0124	J0126	J0128	M0827	M0828	M0829	M0830	M0831	M0832	M0833	M0834	M0835	M0836	M0837	M0838	M0839	M0840	M0841	M0842	M0843	M0845	M0846	M0847	M0848	M0849	M0851	M0852	M0853	M0854	M0855
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0.0	0.0	296.0	1.0	16.0	0.0	39.0	0.0	0.0	38.0	0.0	0.0	11.0	7.0	0.0	13.0	0.0	12.0	1.0	0.0	160.0	50.0	0.0	24.0	0.0	281.0	0.0	17.0	18.0	7.0	0.0	37.0	37.0	42.0	35.0	34.0	2.0	0.0	8.0	7.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermococci	0.0	0.0	208.0	6.0	42.0	2.0	29.0	2.0	0.0	31.0	7.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	35.0	27.0	0.0	0.0	0.0	287.0	27.0	11.0	0.0	21.0	0.0	71.0	20.0	28.0	16.0	1.0	0.0	0.0	7.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__unassigned	0.0	0.0	655.0	16.0	48.0	1.0	306.0	0.0	0.0	53.0	73.0	31.0	39.0	17.0	38.0	13.0	0.0	24.0	9.0	60.0	199.0	144.0	0.0	21.0	59.0	626.0	30.0	32.0	159.0	39.0	0.0	260.0	134.0	67.0	5.0	176.0	1.0	0.0	21.0	16.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__unassigned;c__unassigned	0.0	0.0	206.0	0.0	21.0	0.0	33.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	0.0	5.0	0.0	0.0	6.0	11.0	113.0	67.0	6.0	0.0	0.0	193.0	64.0	31.0	14.0	1.0	1.0	72.0	59.0	28.0	21.0	41.0	1.0	13.0	5.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	60.0	11.0	284.0	623.0	353.0	460.0	641.0	239.0	29.0	428.0	394.0	412.0	341.0	599.0	1035.0	526.0	41.0	3619.0	63.0	106.0	218.0	111.0	394.0	459.0	155.0	210.0	217.0	83.0	182.0	90.0	66.0	491.0	107.0	1294.0	305.0	188.0	59.0	104.0	45.0	794.0	301.0	32.0	195.0	36.0	18.0	106.0	30.0	71.0	103.0	122.0	72.0	16.0	64.0	6.0	176.0	181.0	392.0	54.0	35.0	164.0	166.0	123.0	23.0	113.0	66.0	124.0	64.0	50.0	142.0	38.0	108.0	58.0	104.0	57.0	272.0	48.0	15.0	91.0	50.0	356.0	47.0	99.0	70.0	61.0	24.0	78.0	78.0	363.0	47.0	42.0	31.0	40.0	100.0	31.0	439.0	85.0	858.0	165.0	1566.0	457.0	80.0	360.0	131.0	305.0	53.0	88.0	137.0	22.0	124.0	207.0	224.0	52.0	109.0	30.0	46.0	132.0	343.0	67.0	128.0	99.0	331.0	50.0	57.0	128.0	295.0	87.0	39.0	99.0	80.0	124.0	0.0	27.0	58.0	102.0	1.0	0.0	15.0	3.0	5.0	6.0	14.0	0.0	78.0	8.0	5.0	5.0	88.0	54.0	98.0	86.0	97.0	55.0	15.0	8.0	15.0	24.0	36.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	1522.0	14.0	314.0	650.0	151.0	179.0	58.0	171.0	922.0	33.0	891.0	42.0	154.0	251.0	58.0	49.0	104.0	17.0	908.0	51.0	20.0	19.0	1056.0	42.0	1.0	36.0	741.0	2082.0	160.0	55.0	817.0	28.0	98.0	168.0	105.0	41.0	667.0	18.0	926.0	165.0	247.0	249.0	113.0	125.0	859.0	2497.0	1257.0	766.0	3106.0	359.0	1384.0	1885.0	204.0	1454.0	169.0	172.0	41.0	363.0	2470.0	411.0	1602.0	1287.0	1062.0	886.0	1171.0	1537.0	564.0	1756.0	875.0	950.0	2430.0	1308.0	1355.0	2356.0	510.0	263.0	1892.0	767.0	1070.0	1666.0	1904.0	122.0	914.0	442.0	466.0	99.0	368.0	298.0	135.0	594.0	99.0	203.0	386.0	856.0	311.0	190.0	401.0	298.0	720.0	590.0	523.0	494.0	42.0	264.0	148.0	948.0	757.0	180.0	1850.0	133.0	59.0	450.0	2267.0	796.0	2103.0	169.0	967.0	289.0	234.0	111.0	488.0	1053.0	576.0	329.0	831.0	293.0	622.0	148.0	905.0	255.0	1.0	1185.0	888.0	406.0	649.0	0.0	435.0	335.0	239.0	114.0	87.0	3.0	1324.0	683.0	103.0	2510.0	645.0	5.0	57.0	115.0	540.0	241.0	473.0	379.0	394.0	77.0	355.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	3.0	0.0	3.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	17.0	14.0	8.0	1.0	21.0	0.0	0.0	146.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	67.0	28.0	0.0	0.0	12.0	8.0	8.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
