Taxon	F0289	F0290	F0291	F0292	F0293	F0295	F0296	F0297	F0298	F0299	F0300	F0301	F0304	F0305	F0306	F0307	F0308	F0309	F0310	F0311	F0313	F0314	F0315	F0316	F0317	F0318	F0319	F0320	F0321	F0322	F0323	F0324	F0326	F0327	F0328	F0329	F0331	F0332	F0334	F0335	F0336	F0371	F0380	F0445	H0487	H0505	H0523	H0528	H0571	H0577	H0587	H0601	H0613	H0617	H0618	H0622	H0624	H0627	H0638	H0647	H0656	H0658	H0659	H0661	H0664	H0667	H0668	H0680	H0681	H0682	H0684	H0689	H0693	H0694	H0700	H0705	H0709	H0716	H0735	H0736	H0738	H0742	H0757	H0762	H0768	H0775	H0781	H0785	H0790	H0793	H0796	H0800	H0812	H0823	H0838	H0846	H0849	H0851	H0866	H0886	H0896	H0914	H0915	H0930	J0001	J0003	J0005	J0018	J0020	J0022	J0024	J0036	J0038	J0040	J0042	J0054	J0056	J0058	J0060	J0072	J0074	J0076	J0078	J0090	J0092	J0094	J0109	J0124	J0126	J0128	M0827	M0828	M0829	M0830	M0831	M0832	M0833	M0834	M0835	M0836	M0837	M0838	M0839	M0840	M0841	M0842	M0843	M0845	M0846	M0847	M0848	M0849	M0851	M0852	M0853	M0854	M0855
k__Archaea;p__Euryarchaeota	0.0	0.0	1159.0	23.0	106.0	3.0	374.0	2.0	0.0	122.0	80.0	31.0	50.0	24.0	38.0	41.0	0.0	36.0	10.0	60.0	394.0	221.0	0.0	45.0	59.0	1194.0	57.0	60.0	177.0	67.0	0.0	368.0	191.0	137.0	56.0	211.0	3.0	0.0	36.0	27.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__unassigned	0.0	0.0	206.0	0.0	21.0	0.0	33.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	0.0	5.0	0.0	0.0	6.0	11.0	113.0	67.0	6.0	0.0	0.0	193.0	64.0	31.0	14.0	1.0	1.0	72.0	59.0	28.0	21.0	41.0	1.0	13.0	5.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	60.0	11.0	284.0	623.0	353.0	460.0	641.0	239.0	29.0	428.0	394.0	412.0	341.0	599.0	1035.0	526.0	41.0	3619.0	63.0	106.0	218.0	111.0	394.0	459.0	155.0	210.0	217.0	83.0	182.0	90.0	66.0	491.0	107.0	1294.0	305.0	188.0	59.0	104.0	45.0	794.0	301.0	32.0	195.0	36.0	18.0	106.0	30.0	71.0	103.0	122.0	72.0	16.0	64.0	6.0	176.0	181.0	392.0	54.0	35.0	164.0	166.0	123.0	23.0	113.0	66.0	124.0	64.0	50.0	142.0	38.0	108.0	58.0	104.0	57.0	272.0	48.0	15.0	91.0	50.0	356.0	47.0	99.0	70.0	61.0	24.0	78.0	78.0	363.0	47.0	42.0	31.0	40.0	100.0	31.0	439.0	85.0	858.0	165.0	1566.0	457.0	80.0	360.0	131.0	305.0	53.0	88.0	137.0	22.0	124.0	207.0	224.0	52.0	109.0	30.0	46.0	132.0	343.0	67.0	128.0	99.0	331.0	50.0	57.0	128.0	295.0	87.0	39.0	99.0	80.0	124.0	0.0	27.0	58.0	102.0	1.0	0.0	15.0	3.0	5.0	6.0	14.0	0.0	78.0	8.0	5.0	5.0	88.0	54.0	98.0	86.0	97.0	55.0	15.0	8.0	15.0	24.0	36.0
k__Bacteria;p__Bacteroidetes	1539.0	15.0	380.0	676.0	315.0	181.0	98.0	175.0	923.0	162.0	903.0	161.0	172.0	273.0	152.0	73.0	107.0	69.0	908.0	57.0	287.0	165.0	1057.0	272.0	65.0	54.0	779.0	2101.0	233.0	153.0	817.0	47.0	178.0	204.0	181.0	41.0	668.0	90.0	935.0	169.0	263.0	249.0	113.0	125.0	859.0	2507.0	1257.0	766.0	3106.0	359.0	1384.0	1885.0	220.0	1454.0	169.0	172.0	41.0	363.0	2470.0	419.0	1602.0	1287.0	1062.0	886.0	1171.0	1537.0	564.0	1756.0	875.0	950.0	2435.0	1308.0	1355.0	2359.0	512.0	263.0	1892.0	767.0	1077.0	1670.0	1905.0	122.0	919.0	448.0	515.0	104.0	370.0	298.0	138.0	594.0	100.0	203.0	393.0	891.0	311.0	194.0	401.0	298.0	726.0	593.0	524.0	494.0	42.0	264.0	148.0	993.0	757.0	180.0	1850.0	133.0	59.0	450.0	2267.0	796.0	2103.0	169.0	967.0	289.0	234.0	111.0	488.0	1053.0	576.0	329.0	831.0	293.0	622.0	148.0	905.0	255.0	1.0	1185.0	888.0	424.0	691.0	0.0	490.0	335.0	239.0	114.0	88.0	3.0	1350.0	685.0	103.0	2511.0	645.0	5.0	57.0	115.0	540.0	241.0	476.0	386.0	410.0	79.0	373.0
k__Bacteria;p__DeinococcusThermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	2378.0	3156.0	2103.0	2795.0	1562.0	4245.0	1987.0	4368.0	3940.0	637.0	1907.0	745.0	1632.0	3675.0	995.0	2812.0	4821.0	485.0	3893.0	581.0	594.0	349.0	3395.0	1178.0	660.0	547.0	2856.0	2066.0	2182.0	656.0	3951.0	768.0	487.0	849.0	829.0	862.0	4014.0	260.0	3651.0	3904.0	3509.0	4486.0	4661.0	4820.0	3857.0	2060.0	3676.0	4126.0	1666.0	4517.0	3422.0	3064.0	4696.0	3410.0	4646.0	4644.0	4566.0	4448.0	2414.0	4399.0	2873.0	3567.0	3870.0	3898.0	3720.0	3219.0	4333.0	3099.0	3932.0	3985.0	2396.0	3594.0	3487.0	2481.0	4200.0	4671.0	3016.0	3856.0	3729.0	2935.0	2946.0	4585.0	3937.0	4442.0	4382.0	4605.0	4354.0	4242.0	4418.0	4342.0	4822.0	4650.0	4079.0	4033.0	4231.0	4602.0	3676.0	4521.0	2663.0	3884.0	4374.0	4126.0	4800.0	4420.0	4782.0	3613.0	3889.0	4773.0	2931.0	3752.0	4123.0	4351.0	2384.0	3943.0	2598.0	4619.0	3644.0	4541.0	4261.0	4294.0	4157.0	3565.0	4200.0	4498.0	3767.0	4250.0	4192.0	4738.0	3788.0	4417.0	7.0	3764.0	3884.0	4428.0	4150.0	10.0	4425.0	4625.0	4719.0	4778.0	4765.0	4.0	3429.0	4257.0	4742.0	2083.0	4061.0	4884.0	4786.0	4365.0	4327.0	4601.0	4120.0	4337.0	4238.0	4731.0	4488.0
k__Bacteria;p__Fusobacteria	303.0	0.0	6.0	183.0	27.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	6.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	126.0	0.0	0.0	244.0	0.0	0.0	54.0	32.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	63.0	0.0	1.0	0.0	188.0	2.0	72.0	0.0	16.0	0.0	10.0	0.0	16.0	241.0	0.0	0.0	1.0	38.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Nitrospira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
