	F0380	H0617	H0613	H0618	H0846	M0828	M0829	H0757	J0060	H0577	H0571	J0036	H0661	H0664	H0915	H0914	H0668	H0851	F0371	H0587	J0078	J0076	J0074	H0742	H0866	J0058	F0445	J0042	J0040	H0775	H0849	J0020	H0790	H0793	H0796	J0126	J0024	J0054	J0056	H0762	H0647	J0072	H0768	H0781	H0681	H0785	H0886	H0659	J0022	H0800	H0716	H0656	H0896	H0700	H0812	H0705	J0038	H0709	M0853	M0852	J0128	M0855	M0854	J0124	H0624	H0627	H0667	H0622	H0682	H0680	H0684	H0523	H0689	H0823	M0839	H0736	H0735	J0003	J0001	M0848	H0638	M0845	M0846	M0847	M0840	M0841	M0842	M0843	H0694	H0693	M0833	J0018	H0838	H0930	M0834	J0090	J0092	J0094	M0831	M0830	H0601	J0109	M0835	J0005	M0837	M0836
F0380	0.0	1.228461374	0.921275826	1.142720446	1.199211638	0.99489019	1.403128122	1.032203712	1.27178491	0.94840239	1.665060898	1.06370654	1.069762486	1.238061052	1.40998533	1.568815266	1.060428348	1.097832086	1.024578248	1.291829466	1.371189836	1.446729614	1.532615838	0.92405139	1.316178538	1.323117438	0.575663204	1.285806244	1.159706554	1.072557296	1.587248316	1.548177414	1.070110302	0.898212942	0.86302798	1.248768552	1.204392212	1.036784188	1.370825994	0.954521698	1.14899359	1.02593299	0.954148608	0.908835738	1.22120245	1.019471998	1.47174009	1.064267736	1.430321838	0.896206372	1.194227706	1.38667677	1.218164808	1.327766222	0.906608994	1.193982998	1.522014012	1.397081836	0.85833957	0.821333554	1.118194714	0.851545876	1.020190604	0.934911678	1.210840098	1.13001935	1.392673926	0.927415902	1.205773972	1.389516376	1.433372466	1.173538994	1.254667732	1.010779938	1.199042302	1.302120688	1.007215818	1.146573178	0.773805226	1.248140002	1.469094276	1.319659842	1.268335566	1.259848798	0.897426658	0.959069782	1.60391492	1.022254852	1.534610832	1.272314204	0.949654878	0.742597836	1.630120298	1.039815586	0.922297774	1.128490132	1.441151488	1.045199102	0.952164576	1.13168033	1.250713004	1.350330286	0.886905308	1.553223732	0.889920268	0.940289622
H0617	1.228461374	0.0	1.405607796	1.55403144	1.6189338	0.787492668	1.146551228	0.949175782	1.424030032	1.096629768	1.104836592	1.517888058	1.161745628	1.467771754	1.818484352	1.77602972	1.278906202	1.417765164	1.374644254	1.02064414	1.626660578	1.43210744	1.8649706	1.221227724	1.472806288	1.756124936	1.41149089	0.899663814	1.239736068	1.471732446	1.856707378	1.277643044	1.38228188	1.019681524	1.311584642	1.281617874	1.617255478	1.506469338	1.516481352	1.015120608	1.580185652	1.482886992	1.103875834	1.071559812	1.157363036	1.322628972	1.77059484	0.716945398	1.788385856	1.079687614	1.321345328	1.010194544	1.411877018	1.598969564	1.168718968	1.364326304	1.081121674	0.889422258	1.225985224	0.85276642	1.578271652	0.957355406	1.36780833	1.247095008	1.54709334	1.4820113	1.218634432	1.089471924	1.140947994	0.99441773	1.05744122	1.27128166	1.021783478	0.97088496	1.200289924	1.16799561	1.22062956	1.426508708	1.60592276	1.425244224	0.846214386	1.586466312	1.45574636	1.498196276	0.884639728	1.097537704	0.99945937	1.225364846	1.048494962	1.00663983	1.24166188	1.510924982	1.90682652	1.41813712	0.714888764	1.443384594	1.660983422	1.469066072	0.909457814	1.496589596	0.775413742	1.530371144	0.669179094	1.624147978	0.776959134	0.709958208
H0613	0.921275826	1.405607796	0.0	1.044505948	1.01606984	0.972285692	1.170395316	0.981457782	1.156742468	1.119516616	1.431384956	1.018457486	1.00666076	1.169156194	1.24514892	1.331120128	1.03732187	0.967181852	1.048415386	1.171568256	1.222958394	1.118104456	1.410241388	0.903929516	0.972747028	1.065681956	0.982249398	1.150994366	0.992182396	0.885714054	1.300874182	1.29252696	0.942602084	0.884144956	0.74641447	1.182478762	1.011845422	0.822197626	1.233746916	0.936793388	0.773150388	0.839136912	0.912213922	0.872382652	1.147277684	0.833208948	1.112597324	1.117043714	1.40391584	0.913646566	1.087933072	1.14611622	1.222498106	0.942036648	0.869295716	1.102528324	1.315064654	1.275236066	1.072367988	1.051390456	0.905393652	0.872527706	0.960575666	0.831883404	0.77221094	1.035182896	1.259909792	1.031873544	1.23379837	1.252452342	1.236581312	1.032419372	1.110051238	0.980855164	1.003121644	1.13874919	0.991383112	1.002249232	1.114783272	1.167549824	1.408037478	1.2592254	1.179362008	1.265919084	0.9549984	1.002844356	1.347764842	0.864581466	1.315999946	1.100587798	0.934731628	1.049548794	1.366299284	0.965709736	1.068027828	0.831503498	1.337816782	0.834420728	1.07045707	1.137876216	1.261623802	1.276254556	1.059990902	1.393161302	1.014821214	1.095421924
H0618	1.142720446	1.55403144	1.044505948	0.0	1.040534388	1.124402576	1.022237464	1.008848598	1.073595004	0.835774848	1.469023456	1.076714586	0.897666236	0.972623774	1.047840292	1.240292892	0.863183762	0.749188996	1.208831586	0.91098394	1.335179038	1.205635492	1.193103428	0.813548996	1.08860072	1.07274156	1.004378258	1.342296546	1.02576584	1.002710674	1.255325054	1.23287228	1.07998692	0.974122448	0.965202862	0.918864714	1.096554794	0.77258967	1.020804396	0.98264162	0.866601212	0.893243304	1.02069877	0.951066224	0.779309672	0.857993916	1.217269136	1.082948878	1.21269338	0.886677614	0.773743664	1.144628872	0.720112202	1.02123484	1.001907192	1.140036008	1.281234502	1.106910602	1.045670544	1.102940788	0.912987668	0.942044686	1.16247889	0.735294824	0.994766872	0.805944324	1.036863336	0.663640996	1.072034838	1.192431422	1.312781904	1.007981624	0.920690802	1.007820384	1.03773212	1.164840818	0.959184364	1.123395672	1.288253912	1.026337116	1.437284642	1.254477524	1.298193652	1.275348744	1.004599688	1.1602462	1.41907753	0.820082246	1.264601878	0.986335314	0.89310852	1.081032498	1.309552448	0.663694964	1.232122064	0.991833114	1.11099661	0.976016368	1.077072042	0.895504576	1.202845622	0.934641472	1.174725062	1.150072142	1.172362038	1.2759634
H0846	1.199211638	1.6189338	1.01606984	1.040534388	0.0	1.178642824	1.3037049	1.012887178	1.336058916	1.065760356	1.620110948	1.157893774	1.037538884	1.05049557	0.970443752	1.091956536	1.008600214	0.912918884	1.287104382	1.197144772	1.273806046	1.309112476	1.167665476	0.790401996	1.166524752	1.03061232	0.945637774	1.44116415	1.167678236	0.54992899	1.090795846	1.203937096	0.593945728	1.035956948	1.005280882	0.998725714	1.24046273	0.826690342	1.054409364	0.913382312	0.920782404	0.875802236	0.965088854	0.891795456	1.147473284	0.868658468	1.001806008	1.204508438	1.157690116	0.870535478	1.152122696	1.300671944	1.091444894	1.188943744	0.767659688	1.370163304	1.347610974	1.29995395	1.163463076	1.171559224	1.013913824	1.062729258	1.183430402	0.909119592	1.21561576	0.894394712	1.19759018	1.080026608	1.092943598	1.285545102	1.39692242	1.091828068	1.101291718	1.026823716	0.955514356	1.259739126	0.966542904	0.973384592	1.128227772	0.979801788	1.543337762	1.39217762	1.35102678	1.401891528	1.101489368	1.270043864	1.572142062	0.92851711	1.490303334	1.09414075	0.976697092	0.95015857	1.138866864	1.022346996	1.303130124	1.046689282	1.14552557	1.081782236	1.11966781	0.823619864	1.347325022	0.982490448	1.298101974	1.132552946	1.164107802	1.28894802
M0828	0.99489019	0.787492668	0.972285692	1.124402576	1.178642824	0.0	0.934918828	0.541838282	1.149835164	0.940697696	1.028462688	1.180088038	0.821565568	1.036815514	1.505190192	1.49632294	0.950028522	0.968552716	1.064693754	0.89397046	1.320123178	1.111998332	1.528330512	0.832512612	1.074278212	1.376530216	1.09060217	0.87880907	0.880216496	1.005719386	1.57240219	1.072209288	1.00976248	0.554324028	0.881155366	0.91121689	1.283671054	1.030938742	1.16458166	0.667981544	1.156770624	1.050939456	0.701851026	0.62594558	0.852865544	0.859405948	1.385410252	0.49727081	1.4887488	0.688013782	0.965800988	0.840436052	1.167241674	1.181978196	0.757432492	1.120676408	0.99098809	0.844515134	0.866549392	0.720567764	1.133982588	0.619105186	1.057309214	0.78870974	1.103406952	1.136886232	0.932410656	0.882626348	0.84104401	0.773961522	0.890235092	0.839700592	0.721603574	0.517324488	0.692265612	0.910526454	0.835835644	1.0118863	1.326264584	1.155117336	0.88724219	1.352858688	1.241733056	1.267919264	0.5292418	0.868473456	0.998504622	0.72968717	0.980873894	0.764579298	0.807103288	1.19977661	1.637028248	0.986707456	0.792710032	0.947784906	1.339063762	1.09396474	0.753481982	1.117636664	0.73355779	1.182808904	0.810526006	1.321712698	0.767156262	0.885621468
M0829	1.403128122	1.146551228	1.170395316	1.022237464	1.3037049	0.934918828	0.0	0.970361386	0.87557136	1.125833768	1.198234616	1.186516082	1.050064408	1.237543974	1.458593064	1.457143812	1.164128238	1.12772594	0.977682242	0.844993684	1.41380195	1.049422892	1.625105988	0.936289036	1.20114608	1.306088576	1.306929994	0.968594782	0.711181144	1.179254566	1.500895746	1.202072928	1.239615876	1.049479916	1.159770894	1.023603678	1.041139974	0.975252298	1.282994788	1.097830788	1.225491452	0.992675408	1.133586974	1.038986984	0.937551388	1.075335672	1.535576176	0.904575866	1.588124632	0.939014014	0.897671436	0.964826392	1.080634442	1.061042268	1.101884688	0.871754444	1.15028687	0.98160051	1.269945308	1.163515264	1.249282256	0.92138141	1.26864167	0.843021912	1.123360348	1.098714204	1.12014774	1.064304216	1.10509725	1.033714386	1.029724732	1.00734736	0.941383534	0.960339932	0.987654824	1.140392798	1.156959044	1.21292718	1.445527908	1.276322216	1.131560598	1.43324946	1.35454436	1.349852956	0.997653948	1.094662848	0.988035282	0.944513066	0.996934594	0.921386826	0.879643212	1.372905246	1.59817168	0.984955992	1.1296515	0.798445382	1.388830858	1.123003364	1.125843454	1.286640884	0.94773675	1.222209164	1.06305397	1.265069302	1.228955554	1.268720564
H0757	1.032203712	0.949175782	0.981457782	1.008848598	1.012887178	0.541838282	0.970361386	0.0	1.16337705	0.807200954	1.166937186	1.208454756	0.68122545	0.923510144	1.330417554	1.316753382	0.781018608	0.79135645	1.148063308	0.870931022	1.280922068	1.09799837	1.360558958	0.723703986	0.92865583	1.244861974	1.085913332	1.028278144	0.85673261	0.878211932	1.412227188	1.03884785	0.869830498	0.565182642	0.83580944	0.74167834	1.185773336	0.99970704	0.991568766	0.402255014	1.047326982	1.014554758	0.477773004	0.43057833	0.736236498	0.743895374	1.244804266	0.578496992	1.312668906	0.679774952	0.873166074	0.902028378	1.017324872	1.072301062	0.686937134	1.210091154	0.979732616	0.84706886	0.924182434	0.765306214	1.073296454	0.68043898	1.106671596	0.760653026	1.085855062	0.983238686	0.907006878	0.780585794	0.742248572	0.812418124	0.965216422	0.84756705	0.701767564	0.257291154	0.731463246	0.882736416	0.732378314	0.978007522	1.346831114	1.00194755	1.053319312	1.404400678	1.321015974	1.339043038	0.580652854	0.97667603	1.083494552	0.646141952	1.056504388	0.736135276	0.763863854	1.179939668	1.451747878	0.975624554	0.845832606	0.987383344	1.171142908	1.053971734	0.750169476	0.945658258	0.849528172	0.97238529	0.91299748	1.110643348	0.853934408	0.975006178
J0060	1.27178491	1.424030032	1.156742468	1.073595004	1.336058916	1.149835164	0.87557136	1.16337705	0.0	1.122267908	1.570890152	1.161231606	1.191551744	1.313646238	1.497457112	1.585009936	1.12447421	1.145323536	1.008001014	1.251573396	1.361043754	1.256207204	1.535081768	0.838845556	1.294415416	1.082645968	1.146911274	1.171575858	0.836218468	1.218006982	1.554679126	1.442564592	1.18409114	1.118023932	1.080356706	1.25490859	0.741243806	0.940740394	1.362228428	1.148664016	1.191636352	0.961616196	1.161479162	1.032794152	1.144687896	1.076131932	1.502249832	1.106068882	1.368954404	0.964027178	0.947422952	1.307354184	1.322480122	1.061482676	1.021979176	0.874345944	1.430685198	1.253343102	1.155186308	1.1261607	0.932154272	0.896082002	1.248259342	0.791247584	0.857005544	1.083982896	1.359098696	0.97205882	1.237075066	1.292559862	1.376909028	1.243864916	1.16478555	1.180170336	1.312150956	1.357447314	1.206042064	1.220048868	1.386512032	1.30560884	1.448893938	1.373796732	1.348776384	1.284196232	1.120089408	1.04836712	1.37758313	1.068457542	1.420079682	1.180825754	0.90110912	1.248184998	1.641645696	0.916165576	1.14607018	0.830119102	1.414246318	0.80815552	1.094828162	1.283571716	1.257129062	1.403002124	1.046232022	1.501945094	1.139235402	1.1727702
H0577	0.94840239	1.096629768	1.119516616	0.835774848	1.065760356	0.940697696	1.125833768	0.807200954	1.122267908	0.0	1.498448908	0.990624502	0.743898524	0.909607706	1.236397168	1.253927684	0.765471126	0.73021164	1.137474194	0.774201452	1.221283906	1.262643752	1.211334628	0.822365828	1.166603876	1.304538828	0.91827381	1.32020699	1.001865496	1.046641242	1.311494938	1.250896828	1.074227708	0.816926708	1.057489554	0.85343913	1.26239799	0.853105914	1.0428839	0.743174476	1.01866814	0.909183952	0.815418554	0.771817672	0.769199348	0.817832644	1.215894072	0.79251403	1.109371484	0.774054442	0.901422576	1.09042772	0.567955778	1.138665056	0.815835556	1.23809196	1.245372114	1.01920327	0.891780076	0.80953828	1.088209976	0.76587753	1.10774569	0.737251392	1.219148772	0.769022604	0.974087192	0.4609703	0.694013746	1.099268514	1.15493104	0.92438468	0.909905594	0.813632988	1.040811476	1.074514062	0.83517352	1.059644204	1.26083084	0.766502296	1.268805778	1.14488764	1.158647776	1.181571604	0.771788612	1.122605096	1.40538485	0.766358862	1.211460246	0.938169522	0.845562632	1.005779066	1.3458201	0.880771252	0.962639064	1.071153054	1.132766638	1.066201776	0.71282989	0.766361	0.819492582	0.949483988	0.927326246	1.08189935	0.95203829	0.98431342
