"","metabolite","intensity","quartile"
"1","Acrolein",3675.18604651163,1
"2","Glycine",1195.46511627907,1
"3","Pyridine",813.302325581395,1
"4","Acetonecyanohydrin",2138.97674418605,1
"5","(aminomethyl)carbamicacid",1845.67441860465,1
"6","Aniline",4252.41860465116,1
"7","2-Piperidinone",2352.13953488372,1
"8","1-Pentanethiol",4195.06976744186,1
"9","Serine",1613.02325581395,1
"10","D-Glycericacid",4248.95348837209,1
"11","Nitrosobenzene",1296.53488372093,1
"12","Histamine",2952.62790697674,1
"13","Azomycin",2965.32558139535,1
"14","Uracil; 2,4-Dimethylthiazole",1622.11627906977,1
"15","Maleamicacid",2669.3488372093,1
"16","Threonine",3055.55813953488,1
"17","2,3,6-Trihydroxypyridine",3268.53488372093,1
"18","2-[(Methylthio)methyl]-2-butenal",3435.79069767442,1
"19","5-Aminolevulinicacid",2985.3023255814,1
"20","3-Methylindole",3262.83720930233,1
"21","Homocysteine",2353.55813953488,1
"22","2-Hydroxymethylclavam",3951.88372093023,1
"23","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoicacid",3184.81395348837,1
"24","1,2,4,5-Tetrathiane",4211.04651162791,1
"25","N-Ethylammelide",2766.53488372093,1
"26","Methyl-Lys",3946,1
"27","Acesulfame",2466.16279069767,1
"28","Amino-dideoxy-hexose; 6-Dimethylaminopurine",3497.60465116279,1
"29","Ne,Nedimethyllysine",3577.48837209302,1
"30","4-HydroxyaminoquinolineN-oxide",4206.16279069767,1
"31","Formyl-Met; Polyvidone",3682.55813953488,1
"32","Phosphoserine",2544.3488372093,1
"33","Cyometrinil",3999.09302325581,1
"34","Sodiumcitrate",1607.97674418605,1
"35","Lanthionineketimine",2400.51162790698,1
"36","Kynurenicacid",3420.04651162791,1
"37","Thiotepa",2901.11627906977,1
"38","EPTC",3397.25581395349,1
"39","Hexoseoxime",2705.51162790698,1
"40","Indoxylsulfate",2417.81395348837,1
"41","N-Lactoylethanolaminephosphate",2656.37209302326,1
"42","8,8-Dimethoxy-2,6-dimethyl-2-octanol",3747.79069767442,1
"43","O-Succinyl-L-homoserine; 1-Isothiocyanato-7-(methylsulfinyl)heptane",3784.13953488372,1
"44","Asparaginyl-Serine",4259.72093023256,1
"45","N-Benzylphthalimide",3585.90697674419,1
"46","N-(1-Deoxy-1-fructosyl)glycine; 8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoicacid; Sepiapterin",3531,1
"47","Trimetaphosphoricacid",3748.60465116279,1
"48","Sulfapyridine",4301.62790697674,1
"49","HexosamineP",3222.58139534884,1
"50","N6-Methyl-2-deoxyadenosine",2833.04651162791,1
"51","(E,E)-Piperlonguminine",3372.06976744186,1
"52","Paraoxon",4065.81395348837,1
"53","Duloxetine",3719.51162790698,1
"54","Tridemorph",1964.37209302326,1
"55","N-Oleoylethanolamine",4137.67441860465,1
"56","Acetaminophenglucuronide",4133.13953488372,1
"57","Margaroylglycine",3547.16279069767,1
"58","Mecarbam; CyclicAMP",3180.79069767442,1
"59","N-trans-Feruloyloctopamine",3963.83720930233,1
"60","Dihydroceramide",4107.04651162791,1
"61","9-peroxy-5Z,7E,11Z,14Z-eicosatetraenoate",3923.09302325581,1
"62","Glycidyloleate",3723.02325581395,1
"63","MG(P-18:0e/0:0/0:0)",4284.3488372093,1
"64","Cavinine",4277.48837209302,1
"65","9-Thiocyanato-androst-4-ene-3,11,17-trione",3725.90697674419,1
"66","N-LinoleoylGABA",2290.3488372093,1
"67","Bicuculline",3166.3488372093,1
"68","(R)-3,4-Dihydro-2-(4,8,12-trimethyl-3,7,11-tridecatrienyl)-2H-1-benzopyran-6-ol",3768.48837209302,1
"69","2-Hydroxy-22-methyltetracosanoicacid",4079.11627906977,1
"70","Etorphine",3820.53488372093,1
"71","IDP",4208.3023255814,1
"72","6-[2-(carboxymethyl)-3,5-dihydroxy-4-(3-methylbut-2-en-1-yl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylicacid",4294.51162790698,1
"73","Lagerstroemine",3729.93023255814,1
"74","Momordol",4237.46511627907,1
"75","Dofetilide; Folate",3306.51162790698,1
"76","2,3-Diacetoxypropylstearate",4233.06976744186,1
"77","1-a,24R,25-TrihydroxyvitaminD2",3968.39534883721,1
"78","psi-Taraxasterylacetate",3982.3488372093,1
"79","Panaxatriol",4255.55813953488,1
"80","LysoPC(16:0)",4192.62790697674,1
"81","3beta-Hydroxylanostane-7,11-dioneacetate",2362.02325581395,1
"82","Fexofenadine",2669.44186046512,1
"83","LysoPE(0:0/20:2(11Z,14Z))",2410.25581395349,1
"84","LysoPE(0:0/20:1(11Z))",3423.58139534884,1
"85","LysoPE(0:0/20:0)",3575.95348837209,1
"86","Methyl3b-hydroxy-13(18)-oleanen-28-oate",3275.76744186047,1
"87","Taurocholicacid",3425.44186046512,1
"88","TerpendoleK",3185.79069767442,1
"89","(3b,24R,25x)-26-Benzoyloxystigmast-5-ene-3-ol",3303.6976744186,1
"90","PA(8:0/16:0)",3800.74418604651,1
"91","TG(8:0/8:0/a-13:0)[rac",2554.39534883721,1
"92","DG(15:0/16:1(9Z)/0:0)",3103.95348837209,1
"93","ADP-ribose",2396.39534883721,1
"94","Baliospermin",3118.53488372093,1
"95","PA(8:0/18:0)",2842.18604651163,1
"96","TG(10:0/13:0/8:0)",3163.04651162791,1
"97","5,6-Dihydro-5,6-dihydroxy-y,y-carotene",2117.51162790698,1
"98","SquamocinK",2717.55813953488,1
"99","Uridinediphosphateglucuronicacid",3384.23255813953,1
"100","N3-Acetylapramycin",3159.27906976744,1
"101","GDP-L-fucose",3557.72093023256,1
"102","ZizyphineA",3261,1
"103","1-Arachidonoylglycerophosphoinositol",2503.97674418605,1
"104","Acarbose",3526.20930232558,1
"105","C24:1Cer",1005.02325581395,1
"106","C24Cer",1627.09302325581,1
"107","Natamycin",2093.37209302326,1
"108","Glycogen",3447.76744186047,1
"109","LucyosideR",3701.46511627907,1
"110","Plastoquinone8",4263.13953488372,1
"111","PA(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))",2567.53488372093,1
"112","2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",3355.86046511628,1
"113","PA(14:1(9Z)/22:2(13Z,16Z))",3455.11627906977,1
"114","PC(15:0/16:0)",2565.90697674419,1
"115","PE(18:3(6Z,9Z,12Z)/P-18:1(11Z))",1945.74418604651,1
"116","PE(18:2(9Z,12Z)/P-18:1(11Z))",1439.48837209302,1
"117","PE(18:1(11Z)/P-18:1(11Z))",1528.37209302326,1
"118","CerebrosideB",1442.76744186047,1
"119","DG(11D3/11D5/0:0)",3496.90697674419,1
"120","Ubiquinol8",3001.27906976744,1
"121","PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1528.04651162791,1
"122","PC(15:0/20:4(5Z,8Z,11Z,14Z))",1515.46511627907,1
"123","PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))",2439,1
"124","PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z)); PG(18:0/18:1(11Z))",4172.74418604651,1
"125","PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z))",2921.95348837209,1
"126","PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z)); PG(18:0/18:0)",2588.67441860465,1
"127","PE(22:4(7Z,10Z,13Z,16Z)/P-18:0)",1809.74418604651,1
"128","FAD(ox)",3047.90697674419,1
"129","PS(18:0/18:2(9Z,12Z))",1942.93023255814,1
"130","PI(16:0/18:2(9Z,12Z))",1480.62790697674,1
"131","HebevinosideVII",1612.11627906977,1
"132","PC(24:1(15Z)/P-18:1(11Z))",1390.81395348837,1
"133","PGP(18:0/18:2(9Z,12Z))",1939.20930232558,1
"134","PC(24:0/P-18:1(11Z))",1341.51162790698,1
"135","PI(16:0/22:5(4Z,7Z,10Z,13Z,16Z))",2421,1
"136","PI(16:0/22:4(10Z,13Z,16Z,19Z))",2198.06976744186,1
