"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"goods_coverage","9","0.9912","3","0.992333333333333",0.727272727272727,0.727272727272727
"simpson_reciprocal","9","25.22332250791","3","30.7426505191667",0.6,0.727272727272727
"PD_whole_tree","9","86.2992577777778","3","82.1184966666667",0.727272727272727,0.727272727272727
"chao1","9","248.317482875667","3","211.557471264333",0.727272727272727,0.727272727272727
"observed_species","9","194","3","174",0.6,0.727272727272727
"shannon","9","5.52931352875111","3","5.47127834836",1,NA
"gini_index","9","0.998628604439","3","0.998676817675",1,NA
"fisher_alpha","9","40.5391671137556","3","35.3853210706",0.6,0.727272727272727
"margalef","9","22.6600472318222","3","20.3118558088333",0.6,0.727272727272727
"brillouin_d","9","3.76127536693333","3","3.72736118236333",1,NA
"strong","9","0.616063407659444","3","0.631369016547333",1,NA
"mcintosh_d","9","0.783081371134","3","0.808759454812",0.6,0.727272727272727
