"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"k_Archaea.p_Euryarchaeota.c_Methanomicrobia","9","0.708888888888889","3","0",0.148938233384195,0.925952213956675
"k_Archaea.p_Euryarchaeota.c_Thermococci","9","0.488888888888889","3","0.166666666666667",0.843537264876693,0.925952213956675
"k_Archaea.p_Euryarchaeota.c_unassigned","9","1.98666666666667","3","0.213333333333333",0.45557600972813,0.925952213956675
"k_Archaea.p_unassigned.c_unassigned","9","0.604444444444444","3","0.426666666666667",0.923486169904247,0.925952213956675
"p_Actinobacteria.c_Actinobacteria","9","5.06222222222222","3","4.13333333333333",0.711048465307932,0.925952213956675
"p_Bacteroidetes.c_Bacteroidia","9","10.9888888888889","3","11.7133333333333",1,NA
"p_Bacteroidetes.c_Flavobacteria","9","0.0933333333333333","3","0",0.148053869695124,0.925952213956675
"p_Bacteroidetes.c_Sphingobacteria","9","0.206666666666667","3","0.2",0.925952213956675,0.925952213956675
"p_Firmicutes.c_Bacilli","9","22.2755555555556","3","22.3866666666667",0.6,0.925952213956675
"p_Firmicutes.c_Clostridia","9","37.8888888888889","3","37.8666666666667",0.863636363636364,0.925952213956675
"p_Firmicutes.c_Erysipelotrichia","9","1.56222222222222","3","1.58",0.6,0.925952213956675
"p_Firmicutes.c_Negativicutes","9","2.07333333333333","3","0.84",0.209090909090909,0.925952213956675
"p_Firmicutes.c_unassigned","9","0.884444444444444","3","0.0133333333333333",0.488825222849476,0.925952213956675
"p_Fusobacteria.c_Fusobacteria","9","0.808888888888889","3","0.293333333333333",1,NA
"p_Proteobacteria.c_Alphaproteobacteria","9","3.83777777777778","3","1.53333333333333",0.516800901648696,0.925952213956675
"p_Proteobacteria.c_Betaproteobacteria","9","4.44666666666667","3","4.33333333333333",0.727272727272727,0.925952213956675
"p_Proteobacteria.c_Gammaproteobacteria","9","2.5","3","13.9466666666667",0.6,0.925952213956675
"p_Proteobacteria.c_unassigned","9","0.171111111111111","3","0.06",0.575743100467251,0.925952213956675
"p_Verrucomicrobia.c_Verrucomicrobiae","9","0.284444444444444","3","0.0533333333333333",0.55377503261028,0.925952213956675
"p_unassigned.c_unassigned","9","0.155555555555556","3","0.06",0.769406747296396,0.925952213956675
