"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"k_Archaea.p_Euryarchaeota.c_Methanomicrobia.o_Methanosarcinales.f_Methermicoccaceae","9","0.708888888888889","3","0",0.148938233384195,0.778499428982499
"k_Archaea.p_Euryarchaeota.c_Thermococci.o_Thermococcales.f_Thermococcaceae","9","0.488888888888889","3","0.166666666666667",0.843537264876693,0.873364004994873
"k_Archaea.p_Euryarchaeota.c_unassigned.o_unassigned.f_unassigned","9","1.98666666666667","3","0.213333333333333",0.45557600972813,0.778499428982499
"k_Archaea.p_unassigned.c_unassigned.o_unassigned.f_unassigned","9","0.604444444444444","3","0.426666666666667",0.923486169904247,0.923486169904247
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae","9","0.924444444444445","3","0.106666666666667",0.136315138918192,0.778499428982499
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae","9","0.248888888888889","3","0.186666666666667",1,NA
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae","9","0.551111111111111","3","0.0866666666666667",0.263043316900885,0.778499428982499
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Propionibacteriaceae","9","2.19555555555556","3","0.553333333333333",0.404557863119207,0.778499428982499
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_unassigned","9","0.217777777777778","3","0.0133333333333333",0.536210402726447,0.80625
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae","9","0.62","3","3.08",0.266419874644755,0.778499428982499
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae","9","7.06444444444444","3","7.85333333333333",0.853053214181039,0.873364004994873
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae","9","1.80222222222222","3","0.64",0.481818181818182,0.778499428982499
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae","9","1.98666666666667","3","3.16",0.706589960843086,0.845208845208845
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae","9","0.135555555555556","3","0.06",0.429829306052495,0.778499428982499
"p_Bacteroidetes.c_Flavobacteria.o_Flavobacteriales.f_Flavobacteriaceae","9","0.0933333333333333","3","0",0.148053869695124,0.778499428982499
"p_Bacteroidetes.c_Sphingobacteria.o_Sphingobacteriales.f_Chitinophagaceae","9","0.177777777777778","3","0.00666666666666667",0.108984256319584,0.778499428982499
"p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillaceae_1","9","0.0422222222222222","3","5.46666666666667",0.276723544098022,0.778499428982499
"p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillales_Incertae_Sedis_XI","9","1.52888888888889","3","0.02",0.323713862074895,0.778499428982499
"p_Firmicutes.c_Bacilli.o_Bacillales.f_Staphylococcaceae","9","1.59777777777778","3","5.52666666666667",0.266419874644755,0.778499428982499
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Carnobacteriaceae","9","0.42","3","0.126666666666667",0.450700780426136,0.778499428982499
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Enterococcaceae","9","0.475555555555556","3","3.22",0.290750579804827,0.778499428982499
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae","9","1.29111111111111","3","4.04",0.481818181818182,0.778499428982499
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae","9","13.7022222222222","3","0.793333333333333",0.0363636363636364,0.778499428982499
"p_Firmicutes.c_Bacilli.o_unassigned.f_unassigned","9","1.38666666666667","3","0.246666666666667",0.351835987518778,0.778499428982499
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae_1","9","1.37333333333333","3","0.32",0.680068877358518,0.845208845208845
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_Incertae_Sedis_XIII","9","0.0911111111111111","3","0.24",0.773247267728898,0.852554679803657
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Eubacteriaceae","9","0.371111111111111","3","0.14",0.44987565584241,0.778499428982499
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae","9","20.5111111111111","3","25.9066666666667",0.6,0.80625
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Peptostreptococcaceae","9","1.90444444444444","3","1.90666666666667",1,NA
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae","9","11.0955555555556","3","7.46",1,NA
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_unassigned","9","1.94444444444444","3","1.82666666666667",0.711048465307932,0.845208845208845
"p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae","9","1.56222222222222","3","1.58",0.6,0.80625
"p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Acidaminococcaceae","9","0.251111111111111","3","0.7",0.13801073756866,0.778499428982499
"p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Veillonellaceae","9","1.80444444444444","3","0.14",0.228606164729185,0.778499428982499
"p_Firmicutes.c_unassigned.o_unassigned.f_unassigned","9","0.884444444444444","3","0.0133333333333333",0.488825222849476,0.778499428982499
"p_Proteobacteria.c_Alphaproteobacteria.o_Caulobacterales.f_Caulobacteraceae","9","0.16","3","0.106666666666667",0.693033384230254,0.845208845208845
"p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales.f_Bradyrhizobiaceae","9","1.54222222222222","3","0.0133333333333333",0.0896860217703646,0.778499428982499
"p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales.f_Hyphomicrobiaceae","9","0.0955555555555556","3","0.0466666666666667",0.836646739521369,0.873364004994873
"p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales.f_Methylobacteriaceae","9","0.111111111111111","3","0.673333333333333",1,NA
"p_Proteobacteria.c_Alphaproteobacteria.o_Rhodospirillales.f_Acetobacteraceae","9","0.0666666666666667","3","0.46",0.443140431255488,0.778499428982499
"p_Proteobacteria.c_Alphaproteobacteria.o_Sphingomonadales.f_Sphingomonadaceae","9","1.12888888888889","3","0.0933333333333333",0.258763117768986,0.778499428982499
"p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Burkholderiaceae","9","0.773333333333333","3","1.50666666666667",1,NA
"p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Burkholderiales_incertae_sedis","9","0.324444444444444","3","0.32",1,NA
"p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Comamonadaceae","9","2.61777777777778","3","2.34666666666667",0.727272727272727,0.845208845208845
"p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales.f_Enterobacteriaceae","9","1.24666666666667","3","11.32",0.194779465307265,0.778499428982499
"p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales.f_Pasteurellaceae","9","0.395555555555556","3","0",0.0304237841484627,0.778499428982499
"p_Proteobacteria.c_Gammaproteobacteria.o_Pseudomonadales.f_Moraxellaceae","9","0.34","3","0.646666666666667",1,NA
"p_Proteobacteria.c_Gammaproteobacteria.o_Pseudomonadales.f_Pseudomonadaceae","9","0.0511111111111111","3","1.96666666666667",1,NA
"p_Proteobacteria.c_unassigned.o_unassigned.f_unassigned","9","0.171111111111111","3","0.06",0.575743100467251,0.80625
"p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales.f_Verrucomicrobiaceae","9","0.284444444444444","3","0.0533333333333333",0.55377503261028,0.80625
"p_unassigned.c_unassigned.o_unassigned.f_unassigned","9","0.155555555555556","3","0.06",0.769406747296396,0.852554679803657
