"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"k_Archaea.p_Euryarchaeota.c_Methanomicrobia.o_Methanosarcinales","9","0.708888888888889","3","0",0.148938233384195,0.769657415640403
"k_Archaea.p_Euryarchaeota.c_Thermococci.o_Thermococcales","9","0.488888888888889","3","0.166666666666667",0.843537264876693,0.925952213956675
"k_Archaea.p_Euryarchaeota.c_unassigned.o_unassigned","9","1.98666666666667","3","0.213333333333333",0.45557600972813,0.866666666666667
"k_Archaea.p_unassigned.c_unassigned.o_unassigned","9","0.604444444444444","3","0.426666666666667",0.923486169904247,0.925952213956675
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales","9","4.41777777777778","3","1.04666666666667",0.145454545454545,0.769657415640403
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales","9","0.62","3","3.08",0.266419874644755,0.769657415640403
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales","9","10.9888888888889","3","11.7133333333333",1,NA
"p_Bacteroidetes.c_Flavobacteria.o_Flavobacteriales","9","0.0933333333333333","3","0",0.148053869695124,0.769657415640403
"p_Bacteroidetes.c_Sphingobacteria.o_Sphingobacteriales","9","0.206666666666667","3","0.2",0.925952213956675,0.925952213956675
"p_Firmicutes.c_Bacilli.o_Bacillales","9","3.66222222222222","3","13.96",0.578434757716771,0.866666666666667
"p_Firmicutes.c_Bacilli.o_Lactobacillales","9","17.2266666666667","3","8.18",0.727272727272727,0.925952213956675
"p_Firmicutes.c_Bacilli.o_unassigned","9","1.38666666666667","3","0.246666666666667",0.351835987518778,0.866666666666667
"p_Firmicutes.c_Clostridia.o_Clostridiales","9","37.8688888888889","3","37.8333333333333",0.863636363636364,0.925952213956675
"p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales","9","1.56222222222222","3","1.58",0.6,0.866666666666667
"p_Firmicutes.c_Negativicutes.o_Selenomonadales","9","2.07333333333333","3","0.84",0.209090909090909,0.769657415640403
"p_Firmicutes.c_unassigned.o_unassigned","9","0.884444444444444","3","0.0133333333333333",0.488825222849476,0.866666666666667
"p_Fusobacteria.c_Fusobacteria.o_Fusobacteriales","9","0.808888888888889","3","0.293333333333333",1,NA
"p_Proteobacteria.c_Alphaproteobacteria.o_Caulobacterales","9","0.16","3","0.106666666666667",0.693033384230254,0.925952213956675
"p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales","9","2.10888888888889","3","0.873333333333333",0.516800901648696,0.866666666666667
"p_Proteobacteria.c_Alphaproteobacteria.o_Rhodospirillales","9","0.0933333333333333","3","0.46",0.443140431255488,0.866666666666667
"p_Proteobacteria.c_Alphaproteobacteria.o_Sphingomonadales","9","1.16","3","0.0933333333333333",0.258763117768986,0.769657415640403
"p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales","9","4.22222222222222","3","4.2",0.863636363636364,0.925952213956675
"p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacteriales","9","1.24666666666667","3","11.32",0.194779465307265,0.769657415640403
"p_Proteobacteria.c_Gammaproteobacteria.o_Pasteurellales","9","0.395555555555556","3","0",0.0304237841484627,0.769657415640403
"p_Proteobacteria.c_Gammaproteobacteria.o_Pseudomonadales","9","0.391111111111111","3","2.61333333333333",0.249999181535865,0.769657415640403
"p_Proteobacteria.c_unassigned.o_unassigned","9","0.171111111111111","3","0.06",0.575743100467251,0.866666666666667
"p_Verrucomicrobia.c_Verrucomicrobiae.o_Verrucomicrobiales","9","0.284444444444444","3","0.0533333333333333",0.55377503261028,0.866666666666667
"p_unassigned.c_unassigned.o_unassigned","9","0.155555555555556","3","0.06",0.769406747296396,0.925952213956675
