"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"Cellular_Processes.Cell_Growth_and_Death.Apoptosis","9","0.00871880175076836","3","0.00254062550632863",0.145454545454545,0.867579908675799
"Cellular_Processes.Cell_Growth_and_Death.Cell_cycle","9","0.00165145650763932","3","0.000281899381042623",0.709584935745479,0.867579908675799
"Cellular_Processes.Cell_Growth_and_Death.Cell_cycle_Caulobacter","9","0.487067271500768","3","0.444749184424985",0.727272727272727,0.867579908675799
"Cellular_Processes.Cell_Growth_and_Death.Meiosis_yeast","9","0.0152909963077441","3","0.00292777422637681",0.372727272727273,0.867579908675799
"Cellular_Processes.Cell_Growth_and_Death.p53_signaling_pathway","9","0.00375687037270931","3","0.000609372175853868",0.308329778958003,0.867579908675799
"Cellular_Processes.Cell_Motility.Bacterial_chemotaxis","9","0.373681189753098","3","0.454140947798645",0.1,0.867579908675799
"Cellular_Processes.Cell_Motility.Bacterial_motility_proteins","9","0.724914010880969","3","0.986396100260925",0.281818181818182,0.867579908675799
"Cellular_Processes.Cell_Motility.Cytoskeleton_proteins","9","0.339425505940556","3","0.314003938905998",0.863636363636364,0.867579908675799
"Cellular_Processes.Cell_Motility.Flagellar_assembly","9","0.270329338823319","3","0.42687123620929",0.1,0.867579908675799
"Cellular_Processes.Transport_and_Catabolism.Endocytosis","9","0.000112973740689356","3","7.61126586083613e-05",0.701385798301884,0.867579908675799
"Cellular_Processes.Transport_and_Catabolism.Lysosome","9","0.0714695912650988","3","0.0510491924433316",0.6,0.867579908675799
"Cellular_Processes.Transport_and_Catabolism.Peroxisome","9","0.178586917611105","3","0.161110111392325",0.6,0.867579908675799
"Cellular_Processes.Transport_and_Catabolism.Phagosome","9","0.00133797665640621","3","0.000274382296579016",0.709584935745479,0.867579908675799
"Environmental_Information_Processing.Membrane_Transport.ABC_transporters","9","3.64633748008212","3","3.71705453208643",0.863636363636364,0.867579908675799
"Environmental_Information_Processing.Membrane_Transport.Bacterial_secretion_system","9","0.622885135089319","3","0.627442733132958",1,NA
