"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae","29","0.101379310344828","15","0.113333333333333",0.98012255754312,NA
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae","29","0.00620689655172414","15","0",0.0642570432480572,0.291884059466491
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae","29","0.0117241379310345","15","0.028",0.207536755718799,0.431114340804312
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Propionibacteriaceae","29","0.0124137931034483","15","0.00266666666666667",0.857321210644485,0.921620301442821
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae","29","1.66965517241379","15","2.85866666666667",0.756922234965906,0.902187403570573
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae","29","11.4841379310345","15","17.9213333333333",0.0132854241841101,0.236652639451909
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae","29","1.19586206896552","15","0.826666666666667",0.921091855120138,0.943022613575379
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae","29","0.793793103448276","15","0.802666666666667",0.127892108219397,0.305890405723222
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae","29","1.0648275862069","15","0.634666666666667",0.50360186174712,0.676917144877753
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_unassigned","29","0.0158620689655172","15","0.338666666666667",0.0845212082637824,0.30286766294522
"p_Bacteroidetes.c_unassigned.o_unassigned.f_unassigned","29","0.135172413793103","15","0.0533333333333333",0.0385248482828689,0.236652639451909
"p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillales_Incertae_Sedis_XI","29","0.00275862068965517","15","0.008",0.0734054160052242,0.291884059466491
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Carnobacteriaceae","29","0.016551724137931","15","0.016",0.329871471142807,0.575663120386149
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Enterococcaceae","29","1.14413793103448","15","0.554666666666667",0.128047146581814,0.305890405723222
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae","29","0.268965517241379","15","0.112",0.374850403972376,0.575663120386149
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Leuconostocaceae","29","0.139310344827586","15","0.00133333333333333",0.309183082370776,0.575663120386149
"p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae","29","5.10827586206897","15","4.47466666666667",0.624300330883407,0.789556300823132
"p_Firmicutes.c_Bacilli.o_unassigned.f_unassigned","29","1.04344827586207","15","0.212",0.210544212950943,0.431114340804312
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae_1","29","1.01724137931034","15","0.82",0.980082728365312,NA
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_Incertae_Sedis_IV","29","0.135172413793103","15","0.004",0.0746680152123582,0.291884059466491
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_Incertae_Sedis_XI","29","0.00344827586206897","15","0.00266666666666667",0.85730481811391,0.921620301442821
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_Incertae_Sedis_XII","29","0.0296551724137931","15","0.0173333333333333",0.988889660583243,NA
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_Incertae_Sedis_XIII","29","0.291724137931034","15","0.068",0.113106872507692,0.305888239808145
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Eubacteriaceae","29","0.384137931034483","15","0.462666666666667",0.960468293139612,0.960468293139612
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Incertae_sedis","29","0.0889655172413793","15","0.0253333333333333",0.0278147185737696,0.236652639451909
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae","29","25.3213793103448","15","29.8613333333333",0.270535078888782,0.528773108737165
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Peptococcaceae_1","29","0.0489655172413793","15","0.00133333333333333",0.0385240964942889,0.236652639451909
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Peptostreptococcaceae","29","2.16758620689655","15","2.2",0.363733842216256,0.575663120386149
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae","29","24.3227586206897","15","26.8586666666667",0.420988113077682,0.624223753873804
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_unassigned","29","8.88068965517241","15","3.02666666666667",1.31223556192254e-05,0.000564261291626692
"p_Firmicutes.c_Clostridia.o_unassigned.f_unassigned","29","0.00827586206896552","15","0.004",0.970588542042304,NA
