"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae.g_Actinomyces","29","0.101379310344828","15","0.112",1,NA
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae.g_Corynebacterium","29","0.00620689655172414","15","0",0.0642570432480572,0.334228258569603
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia","29","0.0117241379310345","15","0.028",0.207536755718799,0.471218000414015
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Propionibacteriaceae.g_Propionibacterium","29","0.0124137931034483","15","0.00266666666666667",0.857321210644485,0.937072020936995
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia","29","0.0441379310344828","15","0.0586666666666667",0.0866934440748787,0.343791216849883
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella","29","1.11586206896552","15","2.59733333333333",0.646627358941242,0.832643448499682
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella","29","0.21448275862069","15","0.0826666666666667",0.200192273278647,0.471218000414015
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Enterorhabdus","29","0.0144827586206897","15","0",0.096425786497307,0.343791216849883
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Gordonibacter","29","0.0558620689655172","15","0.0186666666666667",0.372708901745979,0.64314351983029
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Slackia","29","0.0731034482758621","15","0.00133333333333333",0.0221279528818475,0.189093415535788
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_unassigned","29","0.128965517241379","15","0.076",0.334332832295437,0.641373188485124
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Acetomicrobium","29","0.00551724137931035","15","0.004",1,NA
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides","29","11.4786206896552","15","17.9173333333333",0.0132854241841101,0.164482497225482
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella","29","0.18551724137931","15","0.0786666666666667",0.0541275124234626,0.317999135487843
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Butyricimonas","29","0.117931034482759","15","0.0546666666666667",0.979668527087665,NA
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter","29","0.277241379310345","15","0.106666666666667",0.990039874721471,NA
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides","29","0.583448275862069","15","0.585333333333333",0.201729954905292,0.471218000414015
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Paraprevotella","29","0.10551724137931","15","0.257333333333333",0.0162592852480293,0.164482497225482
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Prevotella","29","0.426896551724138","15","0.541333333333333",0.820999812088858,0.910862394803635
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_unassigned","29","0.261379310344828","15","0.004",0.892788738454533,0.950898770284818
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes","29","1.06413793103448","15","0.634666666666667",0.503511537449774,0.68837754159633
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_unassigned.g_unassigned","29","0.0158620689655172","15","0.338666666666667",0.0845212082637824,0.343791216849883
"p_Bacteroidetes.c_unassigned.o_unassigned.f_unassigned.g_unassigned","29","0.135172413793103","15","0.0533333333333333",0.0385248482828689,0.241422382572645
