"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"Cellular_Processes.Cell_Growth_and_Death.Apoptosis","29","0.00182857278708736","15","0.00166148859091582",0.0786498044489662,0.36904908241438
"Cellular_Processes.Cell_Growth_and_Death.Cell_cycle_Caulobacter","29","0.496077963745662","15","0.49700178894589",0.641764119905525,0.846434839226746
"Cellular_Processes.Cell_Growth_and_Death.Meiosis_yeast","29","0.000248912007231924","15","0.000262691219799423",0.980222491503165,NA
"Cellular_Processes.Cell_Growth_and_Death.p53_signaling_pathway","29","8.65406309262392e-06","15","4.49822290991819e-05",0.129421029216268,0.413236466238431
"Cellular_Processes.Cell_Motility.Bacterial_chemotaxis","29","0.393243774917316","15","0.414287295510954",0.508164569881403,0.77013760901281
"Cellular_Processes.Cell_Motility.Bacterial_motility_proteins","29","0.710820662323839","15","0.730467702139902",1,NA
"Cellular_Processes.Cell_Motility.Cytoskeleton_proteins","29","0.433684187590076","15","0.433882693690487",1,NA
"Cellular_Processes.Cell_Motility.Flagellar_assembly","29","0.276639545907212","15","0.28713759654588",1,NA
"Cellular_Processes.Transport_and_Catabolism.Endocytosis","29","2.603798423395e-05","15","2.23383672843904e-05",0.697411019851917,0.846608402208297
"Cellular_Processes.Transport_and_Catabolism.Lysosome","29","0.0881233492829398","15","0.0940470912431777",0.624300330883407,0.827876525736692
"Cellular_Processes.Transport_and_Catabolism.Peroxisome","29","0.141976219500641","15","0.147338983933074",0.5899914793734,0.808051511657252
"Environmental_Information_Processing.Membrane_Transport.ABC_transporters","29","3.45282283505798","15","3.4716197493875",0.65942355138615,0.846608402208297
"Environmental_Information_Processing.Membrane_Transport.Bacterial_secretion_system","29","0.539816939711457","15","0.538539458778225",0.864006860260635,0.949629161727905
"Environmental_Information_Processing.Membrane_Transport.Phosphotransferase_system_PTS","29","0.610524118964278","15","0.555375340853693",0.390465963110224,0.727280114495379
"Environmental_Information_Processing.Membrane_Transport.Secretion_system","29","1.05263714589419","15","1.05233042902652",0.960974456511197,0.960974456511197
"Environmental_Information_Processing.Membrane_Transport.Transporters","29","7.41035754329113","15","7.28476094514769",0.447166451153961,0.73722036541599
"Environmental_Information_Processing.Signal_Transduction.MAPK_signaling_pathway_yeast","29","0.0449801627679454","15","0.0437366951157355",0.922040026904624,0.960974456511197
