"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"Acidaminococcus_intestini","29","0.164137931034483","15","0.221333333333333",0.161482368623668,0.514175665043545
"Actinomyces_odontolyticus","29","0.0475862068965517","15","0.032",0.828386118994022,0.931078112661087
"Adlercreutzia_equolifaciens","29","0.0427586206896552","15","0.0573333333333333",0.0915037118561569,0.396819612148429
"Adlercreutzia_equolifaciens.Asaccharobacter_celatus","29","0.0296551724137931","15","0.0133333333333333",0.573799303351156,0.808652145796025
"Akkermansia_muciniphila","29","0.0441379310344828","15","0.00533333333333333",0.243390359946678,0.582205308398693
"Alistipes_finegoldii","29","0.0703448275862069","15","0.0346666666666667",0.97919897781959,NA
"Alistipes_massiliensis","29","0.0144827586206897","15","0.00666666666666667",0.327613211799272,0.662547389225343
"Alistipes_onderdonkii","29","0.170344827586207","15","0.004",0.970590838861288,NA
"Alistipes_shahii","29","0.0758620689655172","15","0.0546666666666667",1,NA
"Anaerostipes_caccae","29","0.0117241379310345","15","0.008",0.597899694231553,0.822510760596831
"Anaerotruncus_colihominis","29","0.00896551724137931","15","0.004",0.388952142216564,0.690199389619589
"Bacteroides_caccae","29","0.143448275862069","15","0.0826666666666667",0.817243208585499,0.931078112661087
"Bacteroides_cellulosilyticus","29","1.49655172413793","15","0.0906666666666667",0.220560195448565,0.560113360447105
"Bacteroides_clarus","29","0.023448275862069","15","0.0826666666666667",0.521309779212164,0.776660306256915
"Bacteroides_coprocola","29","0.248275862068965","15","0",0.0647869857661028,0.337044141045815
"Bacteroides_dorei","29","0.343448275862069","15","0.338666666666667",0.409229167586497,0.698778106916566
"Bacteroides_eggerthii","29","0.217931034482759","15","0.234666666666667",0.987406666005729,NA
"Bacteroides_faecis","29","0.0296551724137931","15","0.08",0.966894462749293,0.966894462749293
"Bacteroides_finegoldii","29","0.0351724137931035","15","0.188",4.3750330432373e-05,0.0155202773657434
"Bacteroides_fragilis","29","0.0248275862068966","15","0.164",0.954848301477918,0.964365369629336
"Bacteroides_intestinalis","29","0.0110344827586207","15","0.0786666666666667",0.533728423102083,0.785614553825282
"Bacteroides_massiliensis","29","0.386206896551724","15","1.08266666666667",0.0498595624902048,0.337044141045815
"Bacteroides_nordii","29","0.00758620689655172","15","0.0506666666666667",0.018979560804533,0.282140614722917
"Bacteroides_ovatus","29","0.102758620689655","15","0.14",0.156518951455928,0.514175665043545
"Bacteroides_salyersiae","29","0.0413793103448276","15","0.06",0.367067210159376,0.677950663661705
"Bacteroides_stercoris","29","1.45724137931034","15","0.358666666666667",0.518568543708081,0.776660306256915
"Bacteroides_thetaiotaomicron","29","0.14551724137931","15","0.064",0.758933933237853,0.912737820040209
"Bacteroides_uniformis","29","1.6048275862069","15","3.152",0.0503931638284391,0.337044141045815
"Bacteroides_vulgatus","29","4.7351724137931","15","10.6",0.00251883121154524,0.0911816898579377
"Bacteroides_xylanisolvens","29","0.0972413793103448","15","0.04",0.445280473573604,0.726087979430832
"Barnesiella_intestinihominis","29","0.128965517241379","15","0.0786666666666667",0.146311395399262,0.490414121616045
"Bilophila_wadsworthia","29","0.0103448275862069","15","0.032",0.036720462493781,0.337044141045815
"Blautia_glucerasea","29","0.33448275862069","15","0.0106666666666667",0.167604222307012,0.514175665043545
"Blautia_hansenii","29","0.126206896551724","15","0.0293333333333333",0.950988523581124,0.964365369629336
"Blautia_luti","29","1.54275862068966","15","2.87733333333333",0.413812156471202,0.701269593455922
"Butyricimonas_virosa","29","0.0213793103448276","15","0.0306666666666667",0.944867988010452,0.964365369629336
"Clostridium_asparagiforme","29","0.016551724137931","15","0.0106666666666667",0.609469984082249,0.822510760596831
"Clostridium_bartlettii","29","0.624827586206897","15","0.132",0.0741921343047519,0.36293990024757
