"","v1","group","LDA","p_value"
"k_Bacteria_p_Bacteroidetes",4.47103157007415,1,3.66433929470582,"0.03642353674244554"
"k_Bacteria_p_Firmicutes",5.06534552049148,0,3.64181280939368,"0.028436961635335253"
"k_Bacteria_p_Proteobacteria",3.30497171752588,1,2.62870712799646,"0.030271324151997694"
"k_Bacteria_p_unassigned",3.32215762538569,0,2.89935250630183,"0.030218892003814918"
"k_Bacteria_p_Bacteroidetes_c_Bacteroidia",4.46989949373272,1,3.66742012920818,"0.03426605606388551"
"k_Bacteria_p_unassigned_c_unassigned",3.32215762538569,0,2.89935250630183,"0.030218892003814918"
"k_Bacteria_p_Bacteroidetes_c_Bacteroidia_o_Bacteroidales",4.46989949373272,1,3.66742012920818,"0.03426605606388551"
"k_Bacteria_p_unassigned_c_unassigned_o_unassigned",3.32215762538569,0,2.89935250630183,"0.030218892003814918"
"k_Bacteria_p_Bacteroidetes_c_Bacteroidia_o_Bacteroidales_f_Bacteroidaceae",4.41100396685386,1,3.67416209579704,"0.012834908074448335"
"k_Bacteria_p_Firmicutes_c_Clostridia_o_Clostridiales_f_unassigned",4.10601928102992,0,3.64489344847339,"4.642782338949045e-05"
"k_Bacteria_p_unassigned_c_unassigned_o_unassigned_f_unassigned",3.32215762538569,0,2.89935250630183,"0.030218892003814918"
"k_Bacteria_p_Bacteroidetes_c_Bacteroidia_o_Bacteroidales_f_Bacteroidaceae_g_Bacteroides",4.41090728591493,1,3.67427578477743,"0.012834908074448335"
"k_Bacteria_p_Bacteroidetes_c_Bacteroidia_o_Bacteroidales_f_Prevotellaceae_g_Paraprevotella",2.56785478989099,1,2.05806112326869,"0.015624264710017278"
"k_Bacteria_p_Firmicutes_c_Clostridia_o_Clostridiales_f_Lachnospiraceae_g_Roseburia",4.03473047138713,1,3.43423383208951,"0.0111540148083212"
"k_Bacteria_p_Firmicutes_c_Clostridia_o_Clostridiales_f_Lachnospiraceae_g_unassigned",3.7502334196513,0,3.10253509201034,"0.01805342137557383"
"k_Bacteria_p_Firmicutes_c_Clostridia_o_Clostridiales_f_Ruminococcaceae_g_Clostridium_III",2.64104918617687,0,2.20680063540936,"0.0041838437307108785"
"k_Bacteria_p_Firmicutes_c_Clostridia_o_Clostridiales_f_unassigned_g_unassigned",4.10601928102992,0,3.64489344847339,"4.642782338949045e-05"
"k_Bacteria_p_unassigned_c_unassigned_o_unassigned_f_unassigned_g_unassigned",3.32215762538569,0,2.89935250630183,"0.030218892003814918"
"Bacteroides_finegoldii",2.43215228957455,1,2.03431419608794,"4.4093583179141e-05"
"Bacteroides_massiliensis",3.19284130891499,1,2.64876536280949,"0.049878801152920524"
"Bacteroides_uniformis",3.6562991579628,1,3.03659925669586,"0.04899351798611345"
"Bacteroides_vulgatus",4.18277272283281,1,3.61680754142784,"0.0024203072147133205"
"Fusicatenibacter_saccharivorans",3.3596197991708,1,2.8382288029242,"0.0011213907250912174"
"Paraprevotella_clara",2.48371191655943,1,2.0114608997264,"0.0018799546760135313"
"Roseburia_intestinalis",2.70892355634132,1,2.17139511528697,"0.0064981384559599205"
"Roseburia_inulinivorans",3.17243735270861,1,2.80850832211158,"0.0005134356736644129"
"otu1404_Roseburia_inulinivorans",2.83159354520643,0,2.24770817564677,"0.00980320120567262"
"otu1469_Roseburia_inulinivorans",2.44080134449597,1,2.00834034452519,"0.006672526987755998"
"otu156_Clostridium_bolteae",3.03380900991836,1,2.7019752668565,"0.00679360306526236"
"otu1600_Ruminococcus_callidus",3.17358243823652,1,2.80876343517176,"0.00018330034967413251"
"otu1683_Butyricicoccus_pullicaecorum_Clostridium_viride_Flavonifractor_plautii_Hydrogenoanaerobacterium_saccharovorans_Intestinimonas_butyriciproducens_Oscillibacter_valericigenes_Oscillospira_guilliermondii_Parvimonas_micra_Pseudobutyrivibrio_ruminis_Pseudoflavonifractor_capillosus_Ruminococcus_flavefaciens",2.74064739305783,1,2.23027317472658,"0.01763473508967113"
"otu2282_Azospirillum_brasilense_Azospirillum_canadense_Azospirillum_rugosum_Christensenella_minuta_Clostridium_botulinum_Clostridium_cochlearium_Clostridium_grantii_Clostridium_oceanicum_Clostridium_sporogenes_Clostridium_tepidiprofundi_Desulfotomaculum_alcoholivorax_Desulfotomaculum_arcticum_Desulfotomaculum_geothermicum_Dialister_invisus_Dialister_micraerophilus_Dialister_propionicifaciens_Megasphaera_cerevisiae_Parvimonas_micra_Pelotomaculum_terephthalicicum",2.8539184447979,0,2.5689042539328,"0.04122172937476226"
"otu2404_Barnesiella_intestinihominis_Barnesiella_viscericola_Coprobacter_fastidiosus_Parabacteroides_distasonis_Paraprevotella_clara_Paraprevotella_xylaniphila_Prevotella_albensis_Prevotella_fusca_Prevotella_maculosa_Prevotella_melaninogenica_Prevotella_nigrescens_Prevotella_oris_Prevotella_salivae_Prevotella_scopos",2.63084497674897,1,2.27719176433326,"0.04668821523332717"
"otu2408_Coprococcus_catus_Faecalibacterium_prausnitzii_Ruminococcus_callidus_Ruminococcus_champanellensis_Subdoligranulum_variabile",3.74662602152281,0,3.30895021005586,"0.04597828862843885"
"otu2659_Acetanaerobacterium_elongatum_Anaerotruncus_colihominis_Clostridium_methylpentosum_Clostridium_sporosphaeroides_Faecalibacterium_prausnitzii_Heliorestis_daurensis_Ruminococcus_bromii_Saccharofermentans_acetigenes",3.2144732612595,0,2.87958062060367,"0.02639852959634906"
"otu2826_Eubacterium_coprostanoligenes_Howardella_ureilytica",3.11533162435623,0,2.67261646203938,"0.049749461202605615"
"otu302_Faecalibacterium_prausnitzii",3.22700113381338,1,2.92932065162634,"0.03787485385264214"
