"","v1","group","LDA","p_value"
"Bacteroides_massiliensis",3.05941995852457,1,2.62870797300507,"0.049878801152920524"
"Bacteroides_uniformis",3.51877596800671,1,2.968844283955,"0.04899351798611345"
"Bacteroides_vulgatus",4.04373441889629,1,3.50907159175274,"0.0024203072147133205"
"Fusicatenibacter_saccharivorans",3.22188327154188,1,2.68036806885168,"0.0011213907250912174"
"Roseburia_inulinivorans",3.03454377057859,1,2.59499552395013,"0.0005134356736644129"
"otu1404_Roseburia_inulinivorans",2.69120318508927,0,2.24171976882286,"0.00980320120567262"
"otu156_Clostridium_bolteae",2.89563144049273,1,2.42088015021362,"0.007319159623690993"
"otu1600_Ruminococcus_callidus",3.03220924521502,1,2.63898385497864,"0.00018330034967413251"
"otu1683_Butyricicoccus_pullicaecorum_Clostridium_viride_Flavonifractor_plautii_Hydrogenoanaerobacterium_saccharovorans_Intestinimonas_butyriciproducens_Oscillibacter_valericigenes_Oscillospira_guilliermondii_Parvimonas_micra_Pseudobutyrivibrio_ruminis_Pseudoflavonifractor_capillosus_Ruminococcus_flavefaciens",2.60386051902955,1,2.0785011704512,"0.01763473508967113"
"otu2282_Azospirillum_brasilense_Azospirillum_canadense_Azospirillum_rugosum_Christensenella_minuta_Clostridium_botulinum_Clostridium_cochlearium_Clostridium_grantii_Clostridium_oceanicum_Clostridium_sporogenes_Clostridium_tepidiprofundi_Desulfotomaculum_alcoholivorax_Desulfotomaculum_arcticum_Desulfotomaculum_geothermicum_Dialister_invisus_Dialister_micraerophilus_Dialister_propionicifaciens_Megasphaera_cerevisiae_Parvimonas_micra_Pelotomaculum_terephthalicicum",2.71835404392797,0,2.47459789130593,"0.04122172937476226"
"otu2404_Barnesiella_intestinihominis_Barnesiella_viscericola_Coprobacter_fastidiosus_Parabacteroides_distasonis_Paraprevotella_clara_Paraprevotella_xylaniphila_Prevotella_albensis_Prevotella_fusca_Prevotella_maculosa_Prevotella_melaninogenica_Prevotella_nigrescens_Prevotella_oris_Prevotella_salivae_Prevotella_scopos",2.49250563250052,1,2.18307782856391,"0.04668821523332717"
"otu2408_Coprococcus_catus_Faecalibacterium_prausnitzii_Ruminococcus_callidus_Ruminococcus_champanellensis_Subdoligranulum_variabile",3.60672931714891,0,3.16420337495611,"0.04334372280698026"
"otu2659_Acetanaerobacterium_elongatum_Anaerotruncus_colihominis_Clostridium_methylpentosum_Clostridium_sporosphaeroides_Faecalibacterium_prausnitzii_Heliorestis_daurensis_Ruminococcus_bromii_Saccharofermentans_acetigenes",3.07438207062702,0,2.7329567594714,"0.024724956144789187"
"otu2826_Eubacterium_coprostanoligenes_Howardella_ureilytica",2.98039217204089,0,2.59009038726726,"0.049749461202605615"
"otu302_Faecalibacterium_prausnitzii",3.09181484748939,1,2.88914684488731,"0.03787485385264214"
