"","Metabolite",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","FC","Log2FC","log10p","Text","p<0.05","FDR<0.05",">2-fold Change","SigPandFold"
"1","(+)-2,7-Dideoxypancratistatin","value","PCR","RVT",14,29,-0.542640346337445,24.6867855736478,0.592,0.99974,1.02618166499166,0.037286153929905,-0.22767829327708,"</br> (+)-2,7-Dideoxypancratistatin </br>pvalue:  0.592 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"2","(+)-Zeylenol; S-Adenosylhomocysteine","value","PCR","RVT",14,29,-0.65505375052491,22.1613485425523,0.519,0.99974,1.03867514150316,0.0547445040725505,-0.284832642151542,"</br> (+)-Zeylenol; S-Adenosylhomocysteine </br>pvalue:  0.519 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"3","(+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one","value","PCR","RVT",14,29,-0.821443819828428,23.3313979507776,0.42,0.99974,1.02741757929528,0.0390226637742963,-0.3767507096021,"</br> (+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one </br>pvalue:  0.42 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"4","(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone","value","PCR","RVT",14,29,-2.48175439539694,38.1889436659966,0.0176,0.571104545454545,1.49365458767065,0.578846558923841,-1.75448733218585,"</br> (+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone </br>pvalue:  0.0176 </br> FDR:  0.5711",TRUE,FALSE,FALSE,FALSE
"5","(-)-Epicatechinsulfate","value","PCR","RVT",14,29,1.34191391189057,31.7711296226849,0.189,0.8685,0.965574500648052,-0.0505405176701024,-0.723538195826756,"</br> (-)-Epicatechinsulfate </br>pvalue:  0.189 </br> FDR:  0.8685",FALSE,FALSE,FALSE,FALSE
"6","(-)-Wikstromol","value","PCR","RVT",14,29,-0.128828887264461,19.6291864735933,0.899,0.99974,0.997279343051063,-0.00393042738819866,-0.0462403082667712,"</br> (-)-Wikstromol </br>pvalue:  0.899 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"7","(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA","value","PCR","RVT",14,29,-0.325926483603437,29.4276166590035,0.747,0.99974,1.01380172106021,0.0197755182044835,-0.126679398184601,"</br> (1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetyl-CoA </br>pvalue:  0.747 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"8","(1R,3S,4S,6R)-6,9-Dihydroxyfenchone6-O-b-D-glucoside","value","PCR","RVT",14,29,-0.575432232927495,36.8647446636647,0.568,0.99974,1.03012554845116,0.0428201792432262,-0.245651664288981,"</br> (1R,3S,4S,6R)-6,9-Dihydroxyfenchone6-O-b-D-glucoside </br>pvalue:  0.568 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"9","(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylicacid","value","PCR","RVT",14,29,-2.21569247150281,40.3417699540669,0.0324,0.588396052631579,1.37551124775751,0.459967936831607,-1.48945498979339,"</br> (1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylicacid </br>pvalue:  0.0324 </br> FDR:  0.5884",TRUE,FALSE,FALSE,FALSE
"10","(2-Naphthalenyloxy)aceticacid","value","PCR","RVT",14,29,0.333756339156493,34.1511251136883,0.741,0.99974,0.992411280667104,-0.0109899605538423,-0.130181792020672,"</br> (2-Naphthalenyloxy)aceticacid </br>pvalue:  0.741 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"11","(20S,24E)-20,26-Dihydroxy-24-dammaren-3-one","value","PCR","RVT",14,29,0.777015105821264,23.7431204422144,0.445,0.99974,0.874702310040105,-0.193135990974336,-0.351639989019068,"</br> (20S,24E)-20,26-Dihydroxy-24-dammaren-3-one </br>pvalue:  0.445 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"12","(2E,11Z)-5-[5-(Methylthio)-4-penten-2-ynyl]-2-furanacrolein","value","PCR","RVT",14,29,0.796698836518929,39.2568914753475,0.43,0.99974,0.981406947900188,-0.0270766098418665,-0.366531544420413,"</br> (2E,11Z)-5-[5-(Methylthio)-4-penten-2-ynyl]-2-furanacrolein </br>pvalue:  0.43 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"13","(2R,2S)-Isobuteine","value","PCR","RVT",14,29,-1.00731416179405,32.3115502268021,0.321,0.99974,1.70193407659365,0.767175156169961,-0.493494967595128,"</br> (2R,2S)-Isobuteine </br>pvalue:  0.321 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
"14","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoicacid","value","PCR","RVT",14,29,-2.6349682887383,32.3405547201164,0.0128,0.516558823529412,1.16362908793636,0.218631265917493,-1.89279003035213,"</br> (2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoicacid </br>pvalue:  0.0128 </br> FDR:  0.5166",TRUE,FALSE,FALSE,FALSE
"15","(2R,3S)-Piscidicacid","value","PCR","RVT",14,29,-0.249937262557489,40.9275058641558,0.804,0.99974,1.03354156979796,0.0475964161801831,-0.0947439512515487,"</br> (2R,3S)-Piscidicacid </br>pvalue:  0.804 </br> FDR:  0.9997",FALSE,FALSE,FALSE,FALSE
