"","SampleID","(Iso)Leucine","2-Heptanethiol","4-Pyridoxate","C16Cer","Chenodeoxycholicacidsulfate","Oleamide","Phenylalanine","Ropinirole","Valine;Betaine","Bacteroides_finegoldii","Roseburia_inulinivorans.x","otu142.Paraprevotella_clara","otu1600.Ruminococcus_callidus.x","otu5315.Fusicatenibacter_saccharivorans","Bacteroides_vulgatus","Bacteroides_uniformis","Bacteroides_massiliensis","Fusicatenibacter_saccharivorans","otu1404.Roseburia_inulinivorans","otu156.Clostridium_bolteae","otu302.Faecalibacterium_prausnitzii","otu3285.Bacteroides_barnesiae","otu3601.Bacteroides_barnesiae","otu4818.Prevotella_loescheii"
"1","H0601",16802,3594,19863,2822,27740,10931,16752,2750,6388,0.06,0.36,0.08,0,0,19.5,5.86,0,3.38,0.36,0.02,1.32,0,0,0
"2","H0617",18468,3445,15420,1822,14419,8269,15673,8317,10138,0.02,0.2,0,0,0.02,25.4,1.12,0,0.28,0.84,0,3.6,0,0,0
"3","H0638",14707,3671,9596,15145,28831,11234,14905,20169,9566,0.22,0.84,0.14,0.08,0.02,39.76,0.76,0,1.96,0.32,0.24,0.56,0,2.92,0
"4","H0667",14058,3465,13964,2905,11570,36166,13766,8897,8796,0.28,0,0.02,0,0,6.58,15.16,1.34,2.52,0,0.2,2.44,0.44,0,0
"5","H0682",8723,2711,50170,10306,41295,10097,16439,5358,8193,0.44,0,0.02,0,0.02,4.22,5.16,3.06,3.46,0.22,0.02,7.56,1.82,0,0
"6","H0689",7015,2801,10366,6582,13996,9145,11019,16367,5533,0.3,1.3,0.06,2,0.02,16.26,0.96,0,1,0.3,0.56,0.46,0,0.62,0
"7","H0757",20697,5360,14503,7352,12481,10103,16136,29716,9590,0.16,1.38,0,0,0,8.5,2.38,0,0.84,0.5,2.58,0.08,0,0,0
"8","H0785",20994,4347,22168,13621,97266,18549,17926,12173,11865,0,0.16,0,5.66,0.06,1.66,0.7,0.32,0.64,0.02,0.18,0,0,0,1.8
"9","H0793",22166,4421,13592,6778,91740,10206,14667,7701,10602,0,0.04,0,3.14,0.02,4.78,0.54,0.2,0.72,0.02,0.24,0.02,0,0,4.3
"10","H0823",12819,3345,78977,4256,10554,10910,13490,27780,9005,0.2,1.64,0,0,0.02,8.24,3.58,0,1.42,0.46,1.46,0.12,0,0,0
"11","H0838",10997,3185,13678,6986,101767,9668,12886,4795,9170,0.08,2.66,0.06,1.6,0.04,2.1,1.5,0.42,1.24,0.9,0.72,0,0,0,0
"12","H0849",11360,3013,9851,6012,20939,12587,11713,3566,9709,0,0.6,0.26,0.58,0,1.84,0.6,0.62,1.62,0.08,0.66,0,0,0,0.06
"13","J0109",8768,3220,21383,9330,299464,12072,12672,3964,5742,0.36,2.48,0,1.92,0,3.76,2.94,2.24,2.28,0.14,3.54,0,0,0,0
"14","J0126",11237,3713,15200,13019,89566,12160,11483,4455,6867,0.38,2.28,0,0.6,0.12,6.34,5.56,3.18,2.2,0.42,0.82,0.02,0,0,0
"15","H0571",6334,6150,12486,1885,65888,12270,10474,9107,3220,0.78,0.02,0,0,0,31.36,5.04,7.08,0.18,0.02,0.12,0,0,0,0
"16","H0613",5858,2355,17854,1968,11640,11324,10171,45094,5544,0.04,0,0,0,0,0.26,1.82,0.12,0.94,0.26,0,0.12,0,0,0
"17","H0618",6964,2602,14134,4246,65890,17375,14111,13130,9417,0.14,0.6,0,0,0.04,1.04,0.36,0.56,1.08,0.28,0.24,0,0,0,0
"18","H0627",9474,2778,16482,2189,12613,8530,12301,25225,5175,0,0,0,0,0.02,0.58,1.68,0.14,2.04,0,0.68,0.02,0,0,0
"19","H0684",16730,4855,34437,6749,21725,8283,18218,5515,8833,0,0.02,0,0,0,13.02,0.22,0,0.3,0.04,0.04,0.02,0,0,0
"20","H0735",11839,3790,163624,1573,9875,89503,12388,42643,8767,0,0,0,0,0,2.18,1.82,0.2,0.34,0.02,0.1,0.02,0,0,0
"21","H0736",12619,3117,50965,3994,13677,9056,12209,7541,7995,0,0.04,0,0,0,6.34,3.54,0,0.04,0,0.06,0,0,0,0
