"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"k_Archaea.p_Euryarchaeota.c_Methanomicrobia.o_Methanosarcinales.f_Methermicoccaceae.g_Methermicoccus","9","0.708888888888889","3","0",0.148938233384195,0.781925725267024
"k_Archaea.p_Euryarchaeota.c_Thermococci.o_Thermococcales.f_Thermococcaceae.g_Thermococcus","9","0.488888888888889","3","0.166666666666667",0.843537264876693,0.910887330396703
"k_Archaea.p_Euryarchaeota.c_unassigned.o_unassigned.f_unassigned.g_unassigned","9","1.98666666666667","3","0.213333333333333",0.45557600972813,0.885719597580374
"k_Archaea.p_unassigned.c_unassigned.o_unassigned.f_unassigned.g_unassigned","9","0.604444444444444","3","0.426666666666667",0.923486169904247,0.926211743590331
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae.g_Actinomyces","9","0.92","3","0.106666666666667",0.136315138918192,0.781925725267024
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae.g_Corynebacterium","9","0.248888888888889","3","0.186666666666667",1,NA
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia","9","0.395555555555556","3","0",0.0927619452417809,0.649333616692466
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Propionibacteriaceae.g_Propionibacterium","9","1.90666666666667","3","0.526666666666667",0.353537318143294,0.885719597580374
"p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_unassigned.g_unassigned","9","0.217777777777778","3","0.0133333333333333",0.536210402726447,0.885719597580374
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia","9","0.115555555555556","3","0.0133333333333333",0.677408232105349,0.885719597580374
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella","9","0.122222222222222","3","2.47333333333333",0.0437049430500851,0.649333616692466
"p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella","9","0.14","3","0.44",0.0844325328324443,0.649333616692466
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides","9","7.06444444444444","3","7.85333333333333",0.853053214181039,0.910887330396703
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Butyricimonas","9","0.0977777777777778","3","0.1",0.536210402726447,0.885719597580374
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides","9","1.54222222222222","3","0.54",0.6,0.885719597580374
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Prevotella","9","1.95111111111111","3","3.16",0.706589960843086,0.885719597580374
"p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes","9","0.135555555555556","3","0.06",0.429829306052495,0.885719597580374
"p_Bacteroidetes.c_Sphingobacteria.o_Sphingobacteriales.f_Chitinophagaceae.g_Sediminibacterium","9","0.146666666666667","3","0",0.0927619452417809,0.649333616692466
"p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillaceae_1.g_Bacillus","9","0.04","3","5.42",1,NA
"p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillales_Incertae_Sedis_XI.g_Gemella","9","1.52888888888889","3","0.02",0.323713862074895,0.885719597580374
"p_Firmicutes.c_Bacilli.o_Bacillales.f_Staphylococcaceae.g_Staphylococcus","9","1.59777777777778","3","5.52666666666667",0.266419874644755,0.885719597580374
